dropped_feature,kept_feature,correlation,MI_dropped,MI_kept,reason
MaxEStateIndex,MaxAbsEStateIndex,1.0,0.1269611283648676,0.12644482117275585,"r = 1.000, MaxEStateIndex < MaxAbsEStateIndex по MI"
HeavyAtomMolWt,MolWt,0.9968666093247985,0.19116512756487222,0.22040912551762423,"r = 0.997, HeavyAtomMolWt < MolWt по MI"
MolWt,ExactMolWt,0.9999985075140141,0.22040912551762423,0.22740742094753572,"r = 1.000, MolWt < ExactMolWt по MI"
HeavyAtomMolWt,ExactMolWt,0.9968358409109574,0.19116512756487222,0.22740742094753572,"r = 0.997, HeavyAtomMolWt < ExactMolWt по MI"
NumValenceElectrons,MolWt,0.9808208405604043,0.13353742627077617,0.22040912551762423,"r = 0.981, NumValenceElectrons < MolWt по MI"
NumValenceElectrons,HeavyAtomMolWt,0.9658329760479528,0.13353742627077617,0.19116512756487222,"r = 0.966, NumValenceElectrons < HeavyAtomMolWt по MI"
NumValenceElectrons,ExactMolWt,0.9810424131002944,0.13353742627077617,0.22740742094753572,"r = 0.981, NumValenceElectrons < ExactMolWt по MI"
MinAbsPartialCharge,MaxPartialCharge,0.9728061838090668,0.1716755415651048,0.18147853552710064,"r = 0.973, MinAbsPartialCharge < MaxPartialCharge по MI"
Chi0,MolWt,0.9863836600249465,0.17679328699412283,0.22040912551762423,"r = 0.986, Chi0 < MolWt по MI"
Chi0,HeavyAtomMolWt,0.9777692188333427,0.17679328699412283,0.19116512756487222,"r = 0.978, Chi0 < HeavyAtomMolWt по MI"
Chi0,ExactMolWt,0.9865957465965571,0.17679328699412283,0.22740742094753572,"r = 0.987, Chi0 < ExactMolWt по MI"
Chi0,NumValenceElectrons,0.9947585452227329,0.17679328699412283,0.13353742627077617,"r = 0.995, Chi0 < NumValenceElectrons по MI"
NumValenceElectrons,Chi0n,0.9758761571135482,0.13353742627077617,0.1465002556932427,"r = 0.976, NumValenceElectrons < Chi0n по MI"
Chi0,Chi0n,0.9594809395234613,0.17679328699412283,0.1465002556932427,"r = 0.959, Chi0 < Chi0n по MI"
Chi0v,MolWt,0.9536898979173954,0.13453123907265735,0.22040912551762423,"r = 0.954, Chi0v < MolWt по MI"
