,reg_IC50,reg_CC50,reg_SI,clf_IC50,clf_CC50,clf_SI,clf_SI_gt_8,MI_avg
MaxAbsEStateIndex,0.1563643138949269,0.4312921786029351,0.11452444552124508,0.026468216046552806,0.059861603288373644,0.05366064001489024,0.04294235084036724,0.12644482117275585
MaxEStateIndex,0.1557323376960138,0.4303223731936856,0.11448227637541297,0.030634855637704517,0.06272484832392067,0.05436674087565918,0.04046446645167645,0.1269611283648676
MinAbsEStateIndex,0.02492995751419924,0.16408645716451709,0.10410706639735023,0.014786877632007256,0.05466471130674044,0.013468739110959804,0.028544057986506832,0.05779826673032584
MinEStateIndex,0.12660449468539747,0.4049226749981196,0.10771993710862038,0.04978669367188404,0.07259081613884155,0.03503229776948036,0.03180332169235567,0.11835146229495701
qed,0.11028684911328135,0.35322515651200437,0.0706976658470242,0.06684348935082407,0.03407396506575178,0.058710880739401894,0.07005340395589288,0.10912734436916864
SPS,0.10157249923227907,0.46635714304404363,0.0474885210465823,0.07672850396621822,0.06268850757031452,0.02862035977430266,0.02167993294361037,0.11501935251105011
MolWt,0.26700041411102404,1.075794357032882,0.043543409334370065,0.030493119353312448,0.07118657852175381,0.019913396405441208,0.034932603864586076,0.22040912551762423
HeavyAtomMolWt,0.21863462650070842,0.8802931446688658,0.04958828000382676,0.04155035757390224,0.07621147575499743,0.03758080714669565,0.03429720130510927,0.19116512756487222
ExactMolWt,0.2679492690734526,1.0890146452705634,0.04815575167741759,0.040840113512909504,0.08500743655254617,0.021402517373653174,0.03948221317220768,0.22740742094753572
NumValenceElectrons,0.15503784142352872,0.6366194078690017,0.08074597199259559,0.009553783954031614,0.021936288815878724,0.0308686898403967,0.0,0.13353742627077617
MaxPartialCharge,0.1971679704097422,0.5252307204080053,0.12562622132188173,0.10725730018437596,0.16640886027359714,0.07627349005518957,0.07238518603691246,0.18147853552710064
MinPartialCharge,0.12651073191597284,0.49661438779820477,0.1179719913772117,0.10151562486494359,0.17999275893829392,0.0880011966358647,0.07233206267084569,0.16899125060019102
