dropped_feature,kept_feature,correlation,MI_dropped,MI_kept,reason
MaxEStateIndex,MaxAbsEStateIndex,1.0,0.12823922871128585,0.12784153724891192,"r = 1.000, MaxEStateIndex < MaxAbsEStateIndex по MI"
HeavyAtomMolWt,MolWt,0.9968927738081947,0.1878269967367217,0.21523876468150577,"r = 0.997, HeavyAtomMolWt < MolWt по MI"
MolWt,ExactMolWt,0.9999985049247968,0.21523876468150577,0.2238687549586473,"r = 1.000, MolWt < ExactMolWt по MI"
HeavyAtomMolWt,ExactMolWt,0.9968618206904265,0.1878269967367217,0.2238687549586473,"r = 0.997, HeavyAtomMolWt < ExactMolWt по MI"
NumValenceElectrons,MolWt,0.9809929363061262,0.1384193593906756,0.21523876468150577,"r = 0.981, NumValenceElectrons < MolWt по MI"
NumValenceElectrons,HeavyAtomMolWt,0.9661702908117875,0.1384193593906756,0.1878269967367217,"r = 0.966, NumValenceElectrons < HeavyAtomMolWt по MI"
NumValenceElectrons,ExactMolWt,0.9812155655998308,0.1384193593906756,0.2238687549586473,"r = 0.981, NumValenceElectrons < ExactMolWt по MI"
MinAbsPartialCharge,MaxPartialCharge,0.9728062075844627,0.174997704934736,0.18478434942166896,"r = 0.973, MinAbsPartialCharge < MaxPartialCharge по MI"
Chi0,MolWt,0.9863819863627892,0.17818304099118826,0.21523876468150577,"r = 0.986, Chi0 < MolWt по MI"
Chi0,HeavyAtomMolWt,0.9778454366611476,0.17818304099118826,0.1878269967367217,"r = 0.978, Chi0 < HeavyAtomMolWt по MI"
Chi0,ExactMolWt,0.9865946806385201,0.17818304099118826,0.2238687549586473,"r = 0.987, Chi0 < ExactMolWt по MI"
Chi0,NumValenceElectrons,0.9948379203996297,0.17818304099118826,0.1384193593906756,"r = 0.995, Chi0 < NumValenceElectrons по MI"
NumValenceElectrons,Chi0n,0.9757785528529533,0.1384193593906756,0.1454649230154462,"r = 0.976, NumValenceElectrons < Chi0n по MI"
Chi0,Chi0n,0.9594947623706271,0.17818304099118826,0.1454649230154462,"r = 0.959, Chi0 < Chi0n по MI"
Chi0v,MolWt,0.9536139896553659,0.13491154738478586,0.21523876468150577,"r = 0.954, Chi0v < MolWt по MI"
Chi0v,ExactMolWt,0.9536866884699841,0.13491154738478586,0.2238687549586473,"r = 0.954, Chi0v < ExactMolWt по MI"
Chi0v,NumValenceElectrons,0.9746776399259481,0.13491154738478586,0.1384193593906756,"r = 0.975, Chi0v < NumValenceElectrons по MI"
Chi0v,Chi0,0.9601111897706135,0.13491154738478586,0.17818304099118826,"r = 0.960, Chi0v < Chi0 по MI"
Chi0v,Chi0n,0.9929639856224917,0.13491154738478586,0.1454649230154462,"r = 0.993, Chi0v < Chi0n по MI"
Chi1,MolWt,0.9869802431672019,0.14709217592471652,0.21523876468150577,"r = 0.987, Chi1 < MolWt по MI"
Chi1,HeavyAtomMolWt,0.9819225953016157,0.14709217592471652,0.1878269967367217,"r = 0.982, Chi1 < HeavyAtomMolWt по MI"
Chi1,ExactMolWt,0.9871306858503643,0.14709217592471652,0.2238687549586473,"r = 0.987, Chi1 < ExactMolWt по MI"
Chi1,NumValenceElectrons,0.9853747799171062,0.14709217592471652,0.1384193593906756,"r = 0.985, Chi1 < NumValenceElectrons по MI"
Chi1,Chi0,0.9914961873719099,0.14709217592471652,0.17818304099118826,"r = 0.991, Chi1 < Chi0 по MI"
Chi1,Chi0v,0.9541296368287672,0.14709217592471652,0.13491154738478586,"r = 0.954, Chi1 < Chi0v по MI"
Chi1n,NumValenceElectrons,0.9523080445053845,0.1254893677890558,0.1384193593906756,"r = 0.952, Chi1n < NumValenceElectrons по MI"
Chi1n,Chi0n,0.9900403573251635,0.1254893677890558,0.1454649230154462,"r = 0.990, Chi1n < Chi0n по MI"
Chi1n,Chi0v,0.9816988734201246,0.1254893677890558,0.13491154738478586,"r = 0.982, Chi1n < Chi0v по MI"
Chi1v,Chi0n,0.978778757789793,0.14028619699008477,0.1454649230154462,"r = 0.979, Chi1v < Chi0n по MI"
Chi1v,Chi0v,0.989218266497081,0.14028619699008477,0.13491154738478586,"r = 0.989, Chi1v < Chi0v по MI"
Chi1v,Chi1n,0.9843915088412166,0.14028619699008477,0.1254893677890558,"r = 0.984, Chi1v < Chi1n по MI"
Chi2v,Chi2n,0.9701469071752788,0.09883045175214497,0.10376474107481805,"r = 0.970, Chi2v < Chi2n по MI"
Chi3n,Chi2n,0.970460978718539,0.09188554146941035,0.10376474107481805,"r = 0.970, Chi3n < Chi2n по MI"
Chi2v,Chi3v,0.9688123633587171,0.09883045175214497,0.09542478592144188,"r = 0.969, Chi2v < Chi3v по MI"
