,reg_IC50,reg_CC50,reg_SI,clf_IC50,clf_CC50,clf_SI,clf_SI_gt_8,MI_avg
MaxAbsEStateIndex,0.1550862361342844,0.43009240857014186,0.11741085014178099,0.029907433074771284,0.06305007869923118,0.05429601803645889,0.045047736085714885,0.12784153724891192
MaxEStateIndex,0.1544122399444925,0.42965023251886336,0.11788578517576687,0.0330621563303215,0.06310682826135827,0.05314630557184796,0.046411053176350414,0.12823922871128585
MinAbsEStateIndex,0.018126624541822345,0.1619595214400622,0.10852677902267782,0.016501746333729805,0.055115846129970114,0.012498611902793222,0.025961120763257073,0.05695575001918751
MinEStateIndex,0.1271363308471658,0.4101121835168713,0.10110692360599494,0.05491176501917261,0.06814918431503636,0.03658157024800124,0.03451874265741406,0.11893095717280804
qed,0.11406689137258796,0.36036155833956673,0.07255065965531404,0.07124242378220869,0.046129932089806536,0.05353854286375048,0.07015205257600865,0.11257743723989187
SPS,0.10060777701843016,0.47039152359149483,0.0448331662393775,0.07748944868713825,0.0652026497879783,0.02204416897460848,0.023793089859973415,0.11490883202271442
MolWt,0.2566348117480661,1.0550585600180638,0.04139006262818423,0.024527959771120766,0.0819460642933707,0.014496922560162107,0.03261697175157274,0.21523876468150577
HeavyAtomMolWt,0.21623932849433425,0.8826796631733784,0.04827319904179861,0.040661710891575886,0.06791964729655575,0.03301105754953304,0.026004370709876046,0.1878269967367217
ExactMolWt,0.2575128397652051,1.068330947676822,0.0454683344493767,0.0406349115595801,0.07881876575360147,0.021936673218774683,0.05437881228717112,0.2238687549586473
NumValenceElectrons,0.16715347900563682,0.6427407397370821,0.06625072728365256,0.006258993167883586,0.007985928783474261,0.05390410337120688,0.024641544385793024,0.1384193593906756
MaxPartialCharge,0.19765208263052347,0.5286867596578273,0.13175198148097023,0.10970354642993851,0.16443592775996563,0.0808328858069638,0.08042726218549379,0.18478434942166896
MinPartialCharge,0.12769307370715977,0.5005632350334723,0.12060372039593759,0.11798658814254437,0.1865646652773174,0.08917805729800254,0.07335478052640787,0.17370630291154884
MaxAbsPartialCharge,0.16353277991421322,0.5336724922370579,0.15191644148338446,0.1081158395057753,0.1843711715181875,0.07932711883170018,0.0681269660149102,0.1841518299293184
MinAbsPartialCharge,0.2042531152064342,0.5385028947436061,0.1062382501796062,0.1181499688370593,0.14940470255869687,0.057027293829945425,0.051407709187803796,0.174997704934736
FpDensityMorgan1,0.07169269184919624,0.2976801123266837,0.03485011717413533,0.013178565686550847,0.006930616287083691,0.014499895876466606,0.02185977492600788,0.06581311058944632
FpDensityMorgan2,0.09412872532430017,0.3697565841304491,0.09038046388139298,0.04029066902829892,0.04061358638320378,0.024288415112078132,0.016072046636598225,0.09650435578518876
FpDensityMorgan3,0.1343450366056902,0.28802988646516203,0.1174327870207712,0.06530233832363597,0.04452504222304854,0.0585888714814915,0.02534753504452114,0.10479592816633151
BCUT2D_MWHI,0.08744748582807915,0.30375844114365025,0.087689781316858,0.10079419451100691,0.15132532189933046,0.08120199694911712,0.08063467719623052,0.1275502712634675
BCUT2D_MWLOW,0.12304708036786938,0.4547351998992597,0.13811292495904937,0.09406351323129414,0.12914174311142435,0.06592558675555726,0.08794364956179201,0.15613852826946376
BCUT2D_CHGHI,0.12263607288328249,0.4497562775831385,0.11176299927102651,0.08237951215589234,0.1125179971050807,0.0657413939688507,0.08520078435851342,0.1471421481893978
BCUT2D_CHGLO,0.18634767074298608,0.505630704668842,0.15958872467188012,0.11138814347412662,0.1483652144140737,0.09034850593665156,0.0884838286209988,0.18430754178993697
BCUT2D_LOGPHI,0.14856024161767722,0.40826887947339463,0.18344856062962966,0.06797336728138115,0.09845251420582413,0.07487013888245042,0.10328311135413015,0.15497954477778392
BCUT2D_LOGPLOW,0.15620802693235936,0.4878525331191028,0.13267527359724474,0.09620516547242253,0.12567751722375853,0.031345862274933856,0.059776750386065336,0.15567730414369815
BCUT2D_MRHI,0.15176902630185785,0.42892981395602625,0.1281900574134789,0.08526361571773844,0.14146206827056385,0.07261557065774005,0.05950594811137555,0.15253372863268297
BCUT2D_MRLOW,0.14305269115270702,0.527074109356445,0.1433321704576067,0.0992572027762777,0.14366507394612293,0.06611693461703516,0.05310593332937841,0.16794344509079615
AvgIpc,0.16410491007905037,0.4403452168969393,0.11289537854942377,0.05214688934263734,0.09055409824713401,0.05998530362980725,0.03829853380433579,0.13690433293561827
BalabanJ,0.15270161465898324,0.4417266331027423,0.010422089952441649,0.03489164004251566,0.0682367219051423,0.04802215708523816,0.027473285281463422,0.11192487743264667
BertzCT,0.09293841318747065,0.4936011880070543,0.06420879301238758,0.029639477297987993,0.029097956057225982,0.06349783070894333,0.03592456779360509,0.11555831800923928
Chi0,0.19889561160692493,0.7510611123561115,0.05694756028011927,0.08677613697214204,0.05911535728376105,0.054482737325222796,0.04000277111403627,0.17818304099118826
Chi0n,0.1701023132310011,0.5999559657687503,0.09243126418729863,0.03562935344655904,0.06044310888546911,0.020900892547367045,0.03879156304167819,0.1454649230154462
Chi0v,0.16064887519175208,0.6427963656029494,0.050992028237088594,0.017766365578723242,0.051195890066234595,0.0,0.020981307016753048,0.13491154738478586
Chi1,0.1551157352673811,0.6554997352644274,0.05260631697545337,0.06698829724557487,0.05996178858597512,0.007850414145960105,0.03162294398824361,0.14709217592471652
Chi1n,0.09699469056670385,0.4938462484998172,0.09377218867900972,0.04245309841253664,0.037137447555570136,0.04112174593388862,0.07310015487586452,0.1254893677890558
Chi1v,0.09975319719382858,0.5591363386600752,0.08797303247556254,0.03734445059171332,0.05156478753808069,0.05899228863715744,0.08723928383417556,0.14028619699008477
Chi2n,0.10188215468539763,0.3734327994041595,0.025252278131310923,0.04499541446530664,0.07289409178984885,0.04319497234267766,0.06470147670502513,0.10376474107481805
Chi2v,0.12672631531654144,0.39961883025857325,0.048808647094778834,0.0067406323590846196,0.05097332164069557,0.02289690462334515,0.036048510971995906,0.09883045175214497
Chi3n,0.08626216439754497,0.34581212571066233,0.09402705637209952,0.023974333568684836,0.06250747583269711,0.03061563440418369,0.0,0.09188554146941035
Chi3v,0.11277333821753865,0.38038955858480517,0.060727502334152916,0.03376211942892504,0.06333899179173796,0.009456067562461978,0.0075259235304714345,0.09542478592144188
Chi4n,0.1488102342841131,0.2707659948073573,0.03256248651278826,0.01578145543507059,0.031774448429782165,0.021649981957384767,0.022748279370996993,0.07772755439964188
Chi4v,0.1244883914331929,0.3143738798825009,0.034469024295948,0.023684259907458483,0.049521503448473725,0.0,0.0,0.07807672270965342
HallKierAlpha,0.1273213247210463,0.43935658111353026,0.03468884021730467,0.0778923411515895,0.1044135785932423,0.06884597419357075,0.07188097051730091,0.13205708721536924
Ipc,0.008111068081202433,0.1397019925870424,0.006157219574999262,0.05130754989572672,0.050492168812279026,0.016896715555493547,0.03344836495258563,0.043730725637047003
Kappa1,0.18856899888078127,0.6237563972588931,0.07004382995471392,0.03787793209684431,0.06033920363459111,0.06270110757386793,0.04343216178905762,0.15524566159839276
