iter	R2	RMSE
0	0.004998774408	1.425540619
1	0.009826596992	1.422077997
2	0.01474170805	1.418544087
3	0.01841013627	1.41590078
4	0.02213748671	1.413209953
5	0.02566587376	1.410658031
6	0.0296121108	1.407798417
7	0.03450231901	1.404246681
8	0.03921736979	1.400813634
9	0.04384515331	1.397435925
10	0.04691468986	1.395191033
11	0.0503750104	1.392656004
12	0.05460289527	1.38955238
13	0.05923476058	1.386144224
14	0.06308189861	1.383307092
15	0.06723731953	1.38023606
16	0.07144157405	1.377121968
17	0.0756128635	1.374025318
18	0.07965414893	1.371018509
19	0.08412621752	1.367683483
20	0.08726543481	1.365337559
21	0.09086186771	1.362644995
22	0.09454476762	1.359882171
23	0.09901030215	1.356524685
24	0.1029559628	1.353551145
25	0.1070920568	1.35042706
26	0.1097374171	1.348425165
27	0.1137476484	1.345384713
28	0.1170387842	1.342884318
29	0.1205407213	1.340218647
30	0.1240058709	1.33757575
31	0.1275048231	1.334901761
32	0.1307856475	1.332389596
33	0.1334889975	1.330316045
34	0.1365094242	1.327995458
35	0.1403174636	1.325063957
36	0.1433168804	1.322750375
37	0.1463582252	1.320400313
38	0.1493744077	1.318065556
39	0.1523822264	1.315733147
40	0.1552456279	1.313508878
41	0.1580678281	1.311312923
42	0.1609820137	1.309041527
43	0.1635448595	1.307040714
44	0.1663680713	1.304833081
45	0.1692630234	1.302565465
46	0.1718334676	1.300548722
47	0.1748309511	1.298192971
48	0.1773026462	1.296247222
49	0.1790557485	1.294865386
50	0.1817698636	1.292723144
51	0.1842024691	1.290800075
52	0.186509126	1.288973923
53	0.1890364665	1.286970083
54	0.1913755873	1.285112692
55	0.1938933042	1.283110482
56	0.1960782947	1.281370336
57	0.198655756	1.27931458
58	0.2013705672	1.277145697
59	0.2036036957	1.275358869
60	0.2062199368	1.273262305
61	0.2092399556	1.270837867
62	0.2113586353	1.269134251
63	0.2139514852	1.26704624
64	0.2159205524	1.265458256
65	0.2177993936	1.263941177
66	0.2202223868	1.261982027
67	0.2225069738	1.260131998
68	0.2246974572	1.258355619
69	0.2268206174	1.256631439
70	0.228796015	1.255025127
71	0.2309985603	1.253231681
72	0.2329707874	1.251623593
73	0.2348544332	1.250085799
74	0.2365348826	1.248712296
75	0.238449272	1.247145739
76	0.2403722488	1.245570173
77	0.2422939412	1.243993664
78	0.2446220766	1.24208104
79	0.2467054584	1.240366987
80	0.2487004076	1.238723467
81	0.2504698782	1.237263878
82	0.252203927	1.235831836
83	0.2545010033	1.233932265
84	0.2560162667	1.232677613
85	0.2574179858	1.231515838
86	0.2595198901	1.229771679
87	0.2613772038	1.22822842
88	0.2629882672	1.2268882
89	0.2651438826	1.225092682
90	0.2669012072	1.22362697
91	0.2684672587	1.22231931
92	0.2702125492	1.220860335
93	0.2715929464	1.219705157
94	0.2732832597	1.218289134
95	0.2749145345	1.216921008
96	0.2765599395	1.21553947
97	0.277882333	1.214428005
98	0.2792946025	1.213239876
99	0.2808173147	1.211957526
100	0.2822691094	1.210733635
101	0.2841840789	1.209117384
102	0.2861846052	1.207426612
103	0.2873523722	1.206438562
104	0.2881166636	1.205791456
105	0.2897481334	1.204408968
106	0.2915767961	1.202857492
107	0.2931001686	1.201563501
108	0.2945662793	1.200316833
109	0.2960792443	1.199028964
110	0.2976490244	1.197691269
111	0.2991867589	1.196379432
112	0.3005989751	1.195173405
113	0.3017471186	1.194191998
114	0.3031506241	1.192991217
115	0.3042710271	1.192031778
116	0.3058297534	1.190695702
117	0.3070010674	1.189690713
118	0.3090598886	1.18792218
119	0.3104377733	1.186737102
120	0.3115913494	1.185744034
121	0.3125382667	1.184928248
122	0.313672047	1.183950737
123	0.3151540749	1.182671759
124	0.3162355112	1.181737615
125	0.317860364	1.180332679
126	0.319219617	1.179156108
127	0.320148367	1.178351506
128	0.3209872961	1.177624245
129	0.3220623733	1.176691613
130	0.3230150565	1.175864539
131	0.3241210836	1.17490361
132	0.3252722143	1.173902658
133	0.3261783614	1.173114129
134	0.3272654277	1.172167463
135	0.3281775005	1.171372599
136	0.3291562249	1.170519049
137	0.3307397674	1.169136714
138	0.3316694266	1.168324416
139	0.3323673468	1.167714232
140	0.3332220019	1.166966581
141	0.334590661	1.165768281
142	0.3353924285	1.165065738
143	0.3359919248	1.164540157
144	0.337125973	1.163545283
145	0.3385651181	1.162281528
146	0.339299288	1.161636303
147	0.3400502449	1.160975954
148	0.3408904192	1.160236706
149	0.3413892518	1.159797573
150	0.3425050812	1.158814682
151	0.3436562604	1.157799778
152	0.3446353921	1.156935855
153	0.3458469372	1.155865971
154	0.3467232821	1.155091476
155	0.3480040784	1.1539586
156	0.3493682577	1.152750747
157	0.3506092098	1.151650899
158	0.3516052781	1.15076733
159	0.3525578858	1.149921678
160	0.3535813166	1.149012461
161	0.3544530454	1.148237449
162	0.3555339772	1.147275717
163	0.3568089604	1.146140295
164	0.3577031323	1.145343329
165	0.358559295	1.14457972
166	0.3587510008	1.144408668
167	0.3598788901	1.143401778
168	0.3608160735	1.142564461
169	0.361752746	1.141726986
170	0.3625079683	1.141051297
171	0.3632534885	1.140383896
172	0.3641634094	1.139568791
173	0.36522948	1.138613066
174	0.366380374	1.137580395
175	0.3674006688	1.136664124
176	0.3680805763	1.136053126
177	0.3692645109	1.134988399
178	0.370142204	1.134198434
179	0.3709344559	1.133484897
180	0.3716202587	1.13286687
181	0.3721027584	1.132431852
182	0.3724918605	1.132080918
183	0.3732762232	1.131373167
184	0.3740744647	1.130652437
185	0.3749423171	1.129868335
186	0.3756699935	1.129210461
187	0.3763536577	1.128592028
188	0.3772031348	1.127823131
189	0.3782401842	1.126883743
190	0.3787049714	1.126462472
191	0.3792662388	1.125953544
192	0.3799367149	1.125345288
193	0.3807489663	1.124607974
194	0.3816186759	1.123817967
195	0.3822846193	1.123212676
196	0.3832110474	1.122370082
197	0.3840824468	1.12157696
198	0.3848241895	1.120901405
199	0.3857420833	1.120064854
200	0.3867037491	1.119187738
201	0.3871089848	1.118817926
202	0.3878839635	1.118110349
203	0.3881596333	1.117858547
204	0.3887537064	1.117315717
205	0.3890991262	1.116999971
206	0.389704283	1.116446585
207	0.3903797537	1.115828577
208	0.3913588574	1.114932157
209	0.3919288925	1.114409929
210	0.3924618639	1.113921434
211	0.393072512	1.113361482
212	0.3937480452	1.112741703
213	0.3942545439	1.11227678
214	0.3951365428	1.111466717
215	0.3959842605	1.110687582
216	0.3966822935	1.110045612
217	0.3972365973	1.109535562
218	0.3978969794	1.108927597
219	0.3982674636	1.108586373
220	0.3989759892	1.107933514
221	0.3995196559	1.107432301
222	0.4005264295	1.106503543
223	0.4011370797	1.105939833
224	0.4017578892	1.10536645
225	0.4021657506	1.104989585
226	0.4027813581	1.104420518
227	0.4036174506	1.103647165
228	0.403988773	1.103303533
229	0.4046786669	1.102664801
230	0.4052713155	1.102115807
231	0.406165877	1.101286621
232	0.4064539507	1.101019467
233	0.4072192087	1.100309467
234	0.4076654035	1.09989528
235	0.408320048	1.099287313
236	0.4090424305	1.098616048
237	0.4096592059	1.098042592
238	0.4102539096	1.097489373
239	0.4107002618	1.097073975
240	0.4110652265	1.096734203
241	0.4117146444	1.096129352
242	0.4121839958	1.095692002
243	0.4125894219	1.095314079
244	0.4131300184	1.094809952
245	0.4136770463	1.094299591
246	0.4143309753	1.093689182
247	0.4150264757	1.093039594
248	0.4157408851	1.092371943
249	0.4163526387	1.091799904
250	0.4170670397	1.091131502
251	0.4177045842	1.090534662
252	0.4181545375	1.09011324
253	0.4186802355	1.08962067
254	0.4194104528	1.088936098
255	0.4199156513	1.088462228
256	0.4203515835	1.088053162
257	0.4207415962	1.087687056
258	0.4211666059	1.087287957
259	0.4216370178	1.086846054
260	0.4222136342	1.086304137
261	0.4232479605	1.085331375
262	0.4235254862	1.08507022
263	0.4242363337	1.084401017
264	0.4247623433	1.083905557
265	0.4251870762	1.083505326
266	0.4257204443	1.083002518
267	0.4264096433	1.082352462
268	0.4268075036	1.08197702
269	0.4273672541	1.081448589
270	0.4279625268	1.08088634
271	0.4285221969	1.080357452
272	0.4290772466	1.079832674
273	0.4296496274	1.079291243
274	0.4301377502	1.078829299
275	0.4305669145	1.078422989
276	0.4312104365	1.077813448
277	0.4320590371	1.077009131
278	0.4324989347	1.076591952
279	0.4328297059	1.076278158
280	0.4331783477	1.075947311
281	0.4336135214	1.075534206
282	0.4341379289	1.075036181
283	0.4346360911	1.074562868
284	0.4350469285	1.074172366
285	0.4353477145	1.073886379
286	0.4358528666	1.073405908
287	0.4361314782	1.073140818
288	0.4365722148	1.072721336
289	0.4369476985	1.072363831
290	0.4375304066	1.071808788
