iter	Passed	Remaining
0	2	2255
1	4	1739
2	5	1550
3	7	1459
4	8	1383
5	10	1350
6	11	1321
7	13	1290
8	14	1281
9	16	1264
10	18	1298
11	19	1279
12	20	1267
13	22	1252
14	23	1245
15	25	1230
16	26	1221
17	27	1214
18	29	1209
19	30	1208
20	33	1228
21	34	1221
22	35	1214
23	37	1219
24	39	1212
25	40	1205
26	41	1199
27	43	1194
28	45	1209
29	46	1205
30	48	1201
31	49	1195
32	51	1188
33	52	1183
34	53	1178
35	55	1173
36	56	1171
37	58	1166
38	59	1162
39	60	1157
40	62	1151
41	63	1148
42	65	1156
43	67	1151
44	68	1147
45	69	1142
46	71	1140
47	72	1135
48	73	1131
49	75	1128
50	76	1124
51	77	1121
52	79	1117
53	80	1114
54	82	1113
55	83	1110
56	84	1107
57	86	1105
58	87	1103
59	89	1100
60	90	1098
61	92	1096
62	93	1093
63	94	1090
64	96	1088
65	97	1085
66	98	1082
67	100	1079
68	101	1076
69	103	1074
70	104	1072
71	105	1071
72	107	1069
73	108	1067
74	110	1065
75	111	1064
76	113	1062
77	114	1060
78	116	1059
79	117	1057
80	119	1057
81	120	1055
82	122	1054
83	123	1052
84	124	1050
85	126	1049
86	127	1046
87	128	1043
88	130	1040
89	131	1039
90	133	1037
91	135	1041
92	136	1039
93	138	1037
94	140	1040
95	141	1038
96	143	1042
97	145	1040
98	146	1038
99	148	1036
100	149	1034
101	150	1032
102	152	1030
103	153	1028
104	154	1025
105	156	1023
106	157	1021
107	159	1019
108	160	1017
109	161	1015
110	163	1013
111	164	1011
112	166	1009
113	167	1007
114	168	1005
115	170	1003
116	171	1001
117	172	999
118	174	997
119	175	995
120	177	993
121	178	991
122	179	989
123	181	987
124	182	985
125	183	983
126	185	981
127	186	980
128	188	979
129	189	977
130	191	975
131	192	976
132	195	978
133	196	976
134	197	974
135	199	972
136	200	970
137	202	970
138	203	968
139	205	966
140	206	964
141	207	962
142	209	963
143	211	963
144	212	961
145	214	962
146	216	960
147	217	959
148	218	956
149	220	955
150	221	952
151	223	951
152	224	949
153	225	946
154	227	945
155	228	943
156	229	941
157	231	939
158	232	938
159	233	935
160	235	933
161	236	931
162	237	930
163	239	928
164	240	926
165	242	925
166	243	923
167	245	922
168	246	920
169	247	918
170	249	916
171	250	915
172	252	913
173	253	912
174	254	910
175	256	908
176	257	906
177	258	905
178	260	903
179	261	901
180	262	899
181	264	897
182	265	895
183	266	893
184	268	891
185	269	890
186	271	888
187	272	887
188	273	885
189	275	883
190	276	882
191	277	880
192	279	878
193	280	876
194	282	875
195	283	873
196	284	871
197	286	869
198	287	867
199	288	866
200	290	864
201	291	863
202	292	861
203	294	861
204	296	859
205	297	857
206	298	856
207	300	854
208	301	852
209	302	851
210	304	849
211	305	847
212	307	846
213	308	845
214	310	844
215	311	842
216	312	840
217	314	839
218	315	837
219	316	835
220	318	834
221	320	834
222	321	833
223	323	831
224	324	830
225	326	828
226	327	827
227	329	825
228	330	823
229	331	822
230	333	820
231	334	818
232	335	817
233	337	815
234	338	813
235	339	811
236	341	810
237	342	808
238	343	807
239	345	805
240	346	804
241	348	802
242	349	800
243	350	799
244	352	797
245	353	796
246	354	794
247	356	792
248	357	791
249	358	789
250	360	787
251	361	786
252	362	784
253	364	782
254	365	781
255	366	779
256	368	778
257	369	776
258	371	775
259	372	773
260	373	772
261	375	770
262	376	769
263	378	767
264	379	766
265	380	764
266	382	763
267	383	761
268	385	760
269	386	758
270	387	757
271	389	755
272	390	754
273	392	752
274	393	751
275	394	749
276	396	748
277	397	746
278	399	745
279	400	743
280	401	742
281	403	740
282	404	738
283	405	737
284	407	735
285	408	734
286	409	732
287	411	731
288	412	729
289	413	728
290	415	726
291	416	725
292	418	723
293	419	722
294	420	720
295	422	718
296	423	717
297	424	715
298	426	714
299	427	712
300	429	711
301	430	709
302	431	708
303	433	706
304	434	705
305	435	703
306	437	702
307	438	700
308	440	699
309	441	697
310	442	696
311	444	695
312	445	693
313	447	692
314	448	690
315	450	689
316	451	687
317	452	686
318	454	684
319	455	683
320	456	681
321	458	680
322	459	678
323	460	677
324	462	675
325	463	674
326	465	673
327	467	672
328	468	670
329	470	669
330	471	668
331	473	667
332	475	666
333	477	665
334	478	664
335	480	663
336	482	662
337	483	661
338	485	660
339	487	659
340	488	657
341	489	656
342	491	654
343	492	653
344	494	651
345	495	650
346	497	649
347	498	648
348	500	646
349	501	645
350	503	643
351	504	642
352	505	640
353	507	638
354	508	637
355	509	635
356	511	634
357	512	632
358	513	631
359	515	629
360	516	628
361	518	626
362	519	625
363	520	623
364	522	622
365	523	620
366	524	619
367	526	617
368	528	617
369	529	615
370	531	614
371	532	612
372	533	611
373	535	609
374	536	608
375	538	606
376	539	605
377	540	603
378	542	602
379	543	600
380	544	599
381	546	597
382	548	596
383	549	595
384	550	593
385	552	593
386	554	591
387	555	590
388	557	588
389	558	586
390	560	586
391	561	584
392	563	583
393	564	581
394	565	580
395	567	578
396	568	577
397	570	576
398	571	574
399	573	573
400	574	571
401	575	570
402	577	568
403	578	567
404	580	565
405	581	564
406	582	562
407	584	561
408	585	560
409	587	558
410	588	557
411	590	555
412	591	554
413	592	552
414	594	551
415	595	549
416	597	548
417	598	547
418	600	545
419	601	544
420	603	542
421	604	541
422	605	539
423	607	538
424	608	537
425	610	535
426	611	534
427	612	532
428	614	531
429	615	529
430	617	528
431	618	526
432	620	525
433	621	524
434	622	522
435	624	521
436	625	519
437	626	518
438	628	516
439	629	515
440	631	513
441	632	512
442	634	510
443	635	509
444	636	507
445	638	506
446	640	505
447	641	504
448	643	502
449	644	501
450	645	499
451	647	498
452	648	496
453	650	495
454	651	493
455	652	492
456	654	491
457	655	489
458	656	488
459	658	486
460	659	485
461	661	483
462	662	482
463	664	481
464	665	479
465	667	478
