iter	R2	RMSE
0	0.01498496423	1.414539387
1	0.02959729071	1.404008105
2	0.03931636256	1.396959488
3	0.05033994887	1.388921496
4	0.06134569992	1.380849833
5	0.07382880608	1.371637182
6	0.08625963132	1.362401211
7	0.09657507685	1.354689138
8	0.1060671159	1.347553671
9	0.1186755185	1.338016694
10	0.1294422029	1.329818651
11	0.1402945821	1.321503892
12	0.1482775192	1.315354061
13	0.1569885432	1.308610357
14	0.1673921739	1.300510489
15	0.1763322274	1.293509587
16	0.1829909027	1.288270497
17	0.1913863449	1.281634384
18	0.1992509925	1.275386511
19	0.206004875	1.269996526
20	0.2136320578	1.26388196
21	0.2214838775	1.257556251
22	0.2271592874	1.252964052
23	0.2330477968	1.248181567
24	0.2402924266	1.242272418
25	0.245543696	1.23797154
26	0.2547915161	1.230360869
27	0.2629032291	1.223646209
28	0.2675643745	1.219771115
29	0.272930551	1.215294585
30	0.2775011758	1.21146867
31	0.2837711637	1.206200533
32	0.2897168491	1.201183537
33	0.295041197	1.196672977
34	0.300883216	1.191704225
35	0.3055808513	1.187693717
36	0.309741071	1.184130674
37	0.3163478828	1.178450097
38	0.3204545685	1.174905301
39	0.3235646942	1.17221358
40	0.3281045073	1.168273374
41	0.3324210442	1.164514589
42	0.3356827406	1.161666279
43	0.3408947322	1.1571003
44	0.3449574865	1.153528578
45	0.351303636	1.1479272
46	0.3572189976	1.142681329
47	0.3628644159	1.13765229
48	0.3660133434	1.134837487
49	0.3697741185	1.131466583
50	0.3736013395	1.12802578
51	0.3764447999	1.1254626
52	0.3795677788	1.12264071
53	0.3823923565	1.12008233
54	0.3875887729	1.115360312
55	0.3907580797	1.112470502
56	0.3940413013	1.109468885
57	0.3963645842	1.107339956
58	0.3988163809	1.105088817
59	0.4022642313	1.101915361
60	0.4062011212	1.098280573
61	0.4086850288	1.095981068
62	0.4120348614	1.092872262
63	0.4140154117	1.091030049
64	0.4155751914	1.089577024
65	0.4178952114	1.087412199
66	0.4211817406	1.084338121
67	0.4247380143	1.081001889
68	0.4270140337	1.078861282
69	0.4296727507	1.076355355
70	0.4333669165	1.072863768
71	0.4359425845	1.070422604
72	0.4378103133	1.068648922
73	0.4398693762	1.066690122
74	0.4435105135	1.063217452
75	0.4450446597	1.061750887
76	0.4471547996	1.059730385
77	0.4498645661	1.057130064
78	0.4532433959	1.053878716
79	0.4545334974	1.05263464
80	0.4562137111	1.051012161
81	0.4587956252	1.048514074
82	0.4596214308	1.047713822
83	0.461458049	1.045931841
84	0.4638465474	1.043609847
85	0.464880164	1.042603407
86	0.4683026012	1.039263998
87	0.470661814	1.036955757
88	0.4722977436	1.035352152
