iter	Passed	Remaining
0	2	1714
1	3	1427
2	4	1312
3	6	1252
4	7	1228
5	9	1197
6	10	1213
7	12	1209
8	13	1202
9	15	1191
10	16	1180
11	17	1181
12	20	1214
13	22	1238
14	23	1238
15	25	1232
16	27	1251
17	28	1242
18	30	1233
19	31	1226
20	32	1220
21	34	1212
22	35	1204
23	36	1194
24	38	1199
25	40	1191
26	41	1185
27	42	1177
28	44	1171
29	45	1164
30	46	1162
31	48	1156
32	49	1156
33	51	1154
34	52	1153
35	54	1146
36	56	1155
37	57	1153
38	58	1149
39	60	1145
40	61	1141
41	63	1138
42	64	1137
43	65	1133
44	67	1129
45	68	1130
46	70	1126
47	71	1127
48	73	1123
49	74	1122
50	76	1120
51	77	1120
52	79	1117
53	80	1113
54	82	1113
55	83	1111
56	84	1107
57	86	1108
58	88	1107
59	89	1105
60	91	1102
61	92	1099
62	93	1098
63	95	1095
64	96	1093
65	97	1089
66	99	1086
67	100	1084
68	102	1081
69	103	1080
70	105	1080
71	106	1078
72	107	1075
73	109	1072
74	110	1070
75	112	1067
76	113	1065
77	114	1062
78	116	1062
79	117	1059
80	119	1056
81	120	1059
82	122	1057
83	123	1055
84	125	1053
85	126	1050
86	128	1049
87	129	1048
88	130	1046
89	132	1043
90	133	1041
91	135	1040
92	136	1038
93	138	1038
94	139	1036
95	140	1033
96	143	1036
97	144	1034
98	145	1032
99	147	1030
100	148	1028
101	150	1026
102	151	1025
103	152	1023
104	154	1022
105	155	1020
106	157	1019
107	158	1017
108	160	1015
109	161	1013
110	163	1011
111	164	1011
112	165	1009
113	167	1007
114	168	1006
115	170	1004
116	171	1002
117	173	1001
118	174	998
119	175	996
120	177	994
121	178	993
122	180	993
123	181	991
124	183	988
125	184	986
126	185	984
127	187	982
128	188	982
129	190	980
130	191	978
131	192	976
132	194	975
133	195	972
134	197	970
135	198	969
136	199	967
137	201	966
138	202	964
139	204	963
140	205	962
141	207	960
142	208	959
143	210	957
144	211	955
145	212	953
146	214	952
147	216	951
148	217	949
149	218	947
150	220	946
151	221	945
152	223	943
153	224	941
154	225	939
155	227	937
156	228	935
157	229	934
158	231	932
159	233	932
160	234	931
161	236	930
162	237	928
163	238	926
164	240	925
165	241	923
166	243	922
167	244	920
168	246	919
169	247	918
170	249	916
171	250	915
172	252	913
173	253	911
174	255	911
175	256	910
