dropped_feature,kept_feature,correlation,MI_dropped,MI_kept,reason
MolWt,ExactMolWt,0.9999984029322699,0.20721746416107756,0.21602777803213,"r = 1.000, MolWt < ExactMolWt по MI"
HeavyAtomMolWt,ExactMolWt,0.996326898210993,0.1795048093205949,0.21602777803213,"r = 0.996, HeavyAtomMolWt < ExactMolWt по MI"
HeavyAtomMolWt,MolWt,0.9963585591122904,0.1795048093205949,0.20721746416107756,"r = 0.996, HeavyAtomMolWt < MolWt по MI"
Chi0,ExactMolWt,0.9861776364940742,0.17288247418979735,0.21602777803213,"r = 0.986, Chi0 < ExactMolWt по MI"
Chi0,NumValenceElectrons,0.9939584973086313,0.17288247418979735,0.14643419654105763,"r = 0.994, Chi0 < NumValenceElectrons по MI"
Chi0,Chi0n,0.9555748583672063,0.17288247418979735,0.1426077843007387,"r = 0.956, Chi0 < Chi0n по MI"
Chi0,MolWt,0.9859618021720716,0.17288247418979735,0.20721746416107756,"r = 0.986, Chi0 < MolWt по MI"
Chi0,HeavyAtomMolWt,0.976544907579866,0.17288247418979735,0.1795048093205949,"r = 0.977, Chi0 < HeavyAtomMolWt по MI"
MinAbsPartialCharge,MaxPartialCharge,0.9726723981369081,0.1665548345876425,0.1718573620168324,"r = 0.973, MinAbsPartialCharge < MaxPartialCharge по MI"
Kappa1,ExactMolWt,0.9611864529414462,0.15279337366870596,0.21602777803213,"r = 0.961, Kappa1 < ExactMolWt по MI"
Kappa1,Kappa2,0.9541131386613932,0.15279337366870596,0.12361044571982115,"r = 0.954, Kappa1 < Kappa2 по MI"
Kappa1,Chi1,0.9555491566783094,0.15279337366870596,0.14486150747421775,"r = 0.956, Kappa1 < Chi1 по MI"
Kappa1,MolWt,0.9609546600973048,0.15279337366870596,0.20721746416107756,"r = 0.961, Kappa1 < MolWt по MI"
Kappa1,Chi0v,0.9655787314338778,0.15279337366870596,0.13131601174348415,"r = 0.966, Kappa1 < Chi0v по MI"
Kappa1,Chi0n,0.9668057528137004,0.15279337366870596,0.1426077843007387,"r = 0.967, Kappa1 < Chi0n по MI"
Kappa1,Chi0,0.9797562273628136,0.15279337366870596,0.17288247418979735,"r = 0.980, Kappa1 < Chi0 по MI"
Kappa1,NumValenceElectrons,0.9875964847953128,0.15279337366870596,0.14643419654105763,"r = 0.988, Kappa1 < NumValenceElectrons по MI"
