,reg_IC50,reg_CC50,reg_SI,clf_IC50,clf_CC50,clf_SI,clf_SI_gt_8,MI_avg
MaxAbsEStateIndex,0.1523260479231947,0.42356462340266665,0.09932686139804803,0.02043230943860297,0.05770673539998761,0.060820999419060495,0.052582448859952446,0.12382286083450185
MaxEStateIndex,0.15261738289102666,0.4235305622189993,0.09881268619563333,0.027540933568317882,0.05911998418574038,0.05663904636956185,0.05403073136778147,0.12461304668529441
MinAbsEStateIndex,0.017391242578116195,0.15782470742148735,0.09848336724062401,0.019291462990057573,0.0550301296496305,0.013976035815942867,0.032277961831174595,0.056324986789576155
MinEStateIndex,0.11956341911899893,0.3901584572317556,0.08262745334910804,0.050199581637201396,0.07839053142899388,0.03768126023535312,0.035518716250080296,0.11344848846449875
qed,0.09960861917100106,0.32355619738718433,0.07702934451306609,0.07610205547909521,0.03318149827491901,0.06241046197811806,0.0719042013019977,0.10625605401505449
SPS,0.08987896541050988,0.4448927228891866,0.03991600464394951,0.08829009851543157,0.07206205551145928,0.034183584121239674,0.049456676349308726,0.11695430106301218
MolWt,0.2459436552897909,1.0258815289910959,0.03197130529257475,0.02673128899272248,0.07112072342660358,0.013451653116093976,0.035422094018661365,0.20721746416107756
HeavyAtomMolWt,0.2043569183451015,0.8435850621004186,0.03915515897423161,0.035867435970864614,0.07241864605631076,0.03131107324481608,0.02983937055242114,0.1795048093205949
ExactMolWt,0.24732341849411332,1.0393118871058835,0.03652064838673663,0.05018378201381157,0.08268406075119761,0.018033287246938867,0.03813736222622843,0.21602777803213
NumValenceElectrons,0.17201504665372003,0.6213506105976743,0.06962867328498046,0.05148170876184377,0.02407029566584118,0.05740479667225529,0.02908824415108846,0.14643419654105763
MaxPartialCharge,0.18663540303568693,0.5167214736131811,0.09785009486883478,0.10525492108269296,0.16047415614342642,0.07078731462528642,0.06527817074871822,0.1718573620168324
MinPartialCharge,0.12345843012378088,0.47398831566323807,0.1033063357749322,0.10400694620937712,0.19197010262142733,0.08758915860637728,0.06830658483113883,0.16466083911861024
MaxAbsPartialCharge,0.16732870305646674,0.5164680266947208,0.1315894496635397,0.0936029060867174,0.1882065648309208,0.08068958390751146,0.05923376743269837,0.17673128595322504
MinAbsPartialCharge,0.19229319507258236,0.5206121704241302,0.07005257282640276,0.12433129973096846,0.14204681520167894,0.06332115922046655,0.05322662963726832,0.1665548345876425
FpDensityMorgan1,0.08388315101031374,0.2946416736990023,0.03734372809409203,0.019477390731123645,0.03609377526942037,0.034397058734025876,0.004100803785211271,0.07284822590331275
FpDensityMorgan2,0.10040349060106246,0.3685405097360044,0.07347994294197369,0.03229623355183975,0.0437387713385653,0.02540035811829333,0.023822133276756086,0.09538306279492785
FpDensityMorgan3,0.12876733219178726,0.28720220377500016,0.1170577578800045,0.06961707817595708,0.04104204108533027,0.05717370185197157,0.04186968258079804,0.10610425679154985
BCUT2D_MWHI,0.09109786318458202,0.2923673789404737,0.07513726484358552,0.10133723440950648,0.1465959821387144,0.08029048175231956,0.08495179302957334,0.12453971404267929
BCUT2D_MWLOW,0.10674411528146344,0.4329860823308742,0.11263246377778113,0.08888023429251235,0.12707296565171466,0.07188380533117655,0.08804886918470411,0.14689264797860377
BCUT2D_CHGHI,0.12124334487891009,0.41808577919659173,0.09448248194577058,0.08388292265402586,0.11177495219439093,0.06113712538736604,0.08022463078357567,0.13869017672009012
BCUT2D_CHGLO,0.17915780195525244,0.49509680585683036,0.14916909627459285,0.10332299543630552,0.15107184054129275,0.08679155434253993,0.09756605378776784,0.18031087831351167
BCUT2D_LOGPHI,0.13624961881873032,0.38346935394809245,0.17724872215761733,0.06649809020942321,0.09593852080226051,0.06909649270621987,0.10085124231982823,0.14705029156602456
BCUT2D_LOGPLOW,0.14231024350592447,0.4696335176435178,0.10836695233592808,0.08459971450203008,0.1269768004604661,0.028052585378393946,0.05598855739554054,0.1451326244602573
BCUT2D_MRHI,0.1407583477588763,0.4120859854799299,0.10357037714327477,0.08538354418386773,0.13508200630565037,0.07247094206236926,0.05659598081576234,0.1437067405356758
BCUT2D_MRLOW,0.13165883616125296,0.5137877479486979,0.12053640784553288,0.08711647396999234,0.1435246055859858,0.058550741040260146,0.04446136541582568,0.15709088256679252
AvgIpc,0.15231011729782074,0.4210810725518539,0.09339056149958491,0.05901929313278176,0.07952375022070046,0.06404526662541854,0.0382161299726429,0.12965517018582903
BalabanJ,0.14311778436999534,0.43173370781053144,0.010879650361678816,0.03651817719064199,0.06753732795780687,0.04320404318264437,0.02886136712729126,0.10883600828579858
BertzCT,0.07997910473593661,0.4720437718278281,0.05057139675429978,0.026776708509944402,0.024692594580116856,0.06526890259951257,0.034832779806212466,0.1077378941162644
Chi0,0.20905333619577648,0.7320135292640235,0.03751445300576117,0.080854624832851,0.0722920300028187,0.04721615409676505,0.03123319193058549,0.17288247418979735
Chi0n,0.16794854023556072,0.5778414834264942,0.09369881187208273,0.04512772094775941,0.04768780140009676,0.02401700721393274,0.04193312500924429,0.1426077843007387
Chi0v,0.1636852944975189,0.6099816054759999,0.050459393765338145,0.024403085655091417,0.04395174735635288,0.0023611233379630114,0.024369832116124757,0.13131601174348415
