,mutual_info
MinPartialCharge,0.19197010262142733
MaxAbsPartialCharge,0.1882065648309208
MaxPartialCharge,0.16047415614342642
BCUT2D_CHGLO,0.15107184054129275
BCUT2D_MWHI,0.1465959821387144
BCUT2D_MRLOW,0.1435246055859858
SlogP_VSA2,0.14283017091239136
MinAbsPartialCharge,0.14204681520167894
BCUT2D_MRHI,0.13508200630565037
BCUT2D_MWLOW,0.12707296565171466
BCUT2D_LOGPLOW,0.1269768004604661
TPSA,0.12508476690097647
SMR_VSA5,0.11660721350009129
PEOE_VSA1,0.11299178709481761
SMR_VSA4,0.11284217462172097
BCUT2D_CHGHI,0.11177495219439093
EState_VSA8,0.10450588059708865
SMR_VSA6,0.10215812153397419
SlogP_VSA5,0.10199365312611608
BCUT2D_LOGPHI,0.09593852080226051
EState_Delta,0.09541400341737472
PEOE_VSA8,0.09490876308451934
PEOE_VSA9,0.0943505697757756
SlogP_VSA4,0.09362730934910135
PEOE_VSA7,0.09284930582393969
HallKierAlpha,0.09089893240964031
EState_VSA10,0.08694566183518293
VSA_EState8,0.08672112921406816
EState_VSA9,0.08602855364617801
PEOE_VSA6,0.08592696885118323
VSA_EState7,0.08345747718252672
ExactMolWt,0.08268406075119761
SlogP_VSA3,0.08139748251088763
AvgIpc,0.07952375022070046
MinEStateIndex,0.07839053142899388
SMR_VSA1,0.07790508329195811
MolWt_x_TPSA,0.07769708951119969
Chi2n,0.07556637353109008
Chi1,0.07503651205281914
SlogP_VSA6,0.07498712742042368
HeavyAtomMolWt,0.07241864605631076
Chi0,0.0722920300028187
SPS,0.07206205551145928
VSA_EState1,0.07131705423916523
MolWt,0.07112072342660358
VSA_EState3,0.07048443718686048
EState_VSA1,0.07025746195199334
EState_VSA5,0.0691829257978398
BalabanJ,0.06753732795780687
EState_VSA2,0.06437764690043601
LabuteASA,0.064034611925887
Kappa2,0.06275669050189214
Chi3n,0.0622870447394166
NumAliphaticHeterocycles,0.06226634775408013
SMR_VSA10,0.061756153490538424
VSA_EState2,0.06116416623883225
HAcceptors_to_HDonors_Ratio,0.059865649336945825
Chi3v,0.05928945194646107
MaxEStateIndex,0.05911998418574038
VSA_EState4,0.05789349815519196
MaxAbsEStateIndex,0.05770673539998761
NumSaturatedHeterocycles,0.05676040503290136
MolLogP_sq,0.056205444406352445
SlogP_VSA7,0.05543992051159474
SlogP_VSA1,0.05524324763155475
EState_VSA4,0.05510920518546247
MinAbsEStateIndex,0.0550301296496305
Chi2v,0.054956514425618996
Chi1v,0.05364606531696947
Kappa1,0.053627198033725954
Chi4v,0.04985152191896436
MolLogP,0.04939563186849738
SlogP_VSA8,0.0483979902421281
Kappa3,0.04786256216823093
Chi0n,0.04768780140009676
PEOE_VSA10,0.04622176085027596
fr_Ndealkylation2,0.04582272343385152
VSA_EState5,0.04515279955169471
EState_VSA3,0.04503455600889272
SMR_VSA7,0.0439738189222576
Chi0v,0.04395174735635288
FpDensityMorgan2,0.0437387713385653
PEOE_VSA11,0.042693641419011996
fr_benzene,0.0425056243849915
NumHeteroatoms,0.04162799557430752
HeavyAtomCount,0.04128294571966129
FpDensityMorgan3,0.04104204108533027
NumHAcceptors,0.040120987224893545
fr_NH0,0.03859934920950847
Chi4n,0.03821282840561668
FractionCSP3,0.0381763554584833
FpDensityMorgan1,0.03609377526942037
SMR_VSA3,0.03563971409744271
MolMR,0.03491199388629229
Chi1n,0.03428190633128558
NumAromaticCarbocycles,0.03412314772556546
qed,0.03318149827491901
PEOE_VSA2,0.03277668348134055
PEOE_VSA12,0.03198321204859389
NOCount,0.03177988388233377
fr_C_S,0.031173384266216075
fr_halogen,0.030975920958879133
fr_ketone,0.03048153953829691
NumAliphaticRings,0.030474699747997214
EState_VSA6,0.030068892307323125
fr_phenol_noOrthoHbond,0.028226036995478765
PEOE_VSA4,0.027799528957954456
NumAromaticHeterocycles,0.027572720260573558
NumHDonors,0.027115094243329363
NumAliphaticCarbocycles,0.02472852431884065
BertzCT,0.024692594580116856
NumValenceElectrons,0.02407029566584118
NumSaturatedRings,0.024041603292206615
fr_Ar_N,0.022973180383079495
