,0
ExactMolWt,0.31406786890791727
MolWt,0.31219320567947006
LogMolWt,0.3109292681211735
BCUT2D_CHGLO,0.3041843516797256
HeavyAtomMolWt,0.30166452859623805
Kappa1,0.29951482410962393
MinAbsPartialCharge,0.2980239343965989
Chi0,0.2944961128907426
VSA_EState8,0.2891761206983299
AvgIpc,0.2865251267204809
BCUT2D_LOGPHI,0.28621498415241664
MaxPartialCharge,0.28390647214449904
BalabanJ,0.28162915774023123
Chi0n,0.27442584530515646
BCUT2D_CHGHI,0.2727291883150027
Chi1,0.27088956872364767
BCUT2D_LOGPLOW,0.2673187531929275
HeavyAtomCount,0.26625906037093383
Kappa2,0.2646412594680121
NumValenceElectrons,0.2635714426287099
MaxEStateIndex,0.26348674986515475
LabuteASA,0.26271076616683686
MaxAbsEStateIndex,0.26182917408904327
BCUT2D_MRLOW,0.2590475545004023
Chi0v,0.2532403353449344
ChargeAsymmetry,0.2531657421508964
Chi4n,0.25094119634283096
BCUT2D_MWLOW,0.24496926467496438
MinEStateIndex,0.24266287378375484
FpDensityMorgan3,0.23983642060093802
Chi1n,0.23310509559932102
Chi2n,0.23103312318150637
VSA_EState4,0.2306487400495536
TPSA_ratio,0.2303931886827466
BCUT2D_MRHI,0.22969013004584848
Chi2v,0.22966863783827307
Chi4v,0.228921539530047
Chi3v,0.22314727998911899
MolLogP,0.22251501959743925
SMR_VSA1,0.2223899748509548
SMR_VSA5,0.21879020811371763
SlogP_VSA4,0.21818424288624527
PEOE_VSA1,0.218017315626176
SlogP_VSA2,0.217977072691804
SlogP_VSA5,0.21637972534951677
Polarization,0.21301650087003976
VSA_EState7,0.20640699414083796
EState_VSA10,0.20313136733817627
HallKierAlpha,0.2031173324452369
Kappa3,0.19974154130868316
qed,0.19890254667301033
SMR_VSA4,0.19798924608774504
EState_VSA2,0.19729210193349767
Chi1v,0.19620141394636015
VSA_EState2,0.1947293227641298
FpDensityMorgan2,0.18959367283170048
EState_VSA8,0.18851676674270612
SlogP_VSA3,0.18829771609158907
Chi3n,0.18695934434437378
VSA_EState6,0.18590511368484952
BertzCT,0.1845362631030345
MolMR,0.18369806931781563
VSA_EState5,0.17986965358939733
EState_VSA9,0.179464322354693
NumAliphaticRings,0.17930481185445268
TPSA,0.17868850396144875
FractionCSP3,0.17597772031454406
BCUT2D_MWHI,0.17585019846620176
PEOE_VSA7,0.17432088378263932
SMR_VSA7,0.17195126346037037
PEOE_VSA8,0.16662693249002247
SlogP_VSA1,0.16367571782581347
VSA_EState3,0.16311174447041177
FpDensityMorgan1,0.16230402185030623
VSA_EState1,0.1616794615005861
EState_VSA5,0.15910239815493954
NHOHCount,0.15731034279603495
PEOE_VSA9,0.15629553779915906
RingCount,0.1545178619900125
PEOE_VSA6,0.15421974759943557
NumAliphaticCarbocycles,0.15378875245013557
PEOE_VSA2,0.15173785615701174
EState_VSA3,0.150441910905045
NOCount,0.14450737758618937
NumHAcceptors,0.1418160391682317
PEOE_VSA14,0.13925953325005702
EState_VSA6,0.13917989037583034
SMR_VSA6,0.13771558038195497
fr_bicyclic,0.13211436725840198
SMR_VSA3,0.13059961224147942
SlogP_VSA6,0.12883402752965756
SMR_VSA10,0.12656775731430026
PEOE_VSA12,0.11704977657118532
MinAbsEStateIndex,0.11657729416000784
EState_VSA1,0.11597048187839043
NumHeteroatoms,0.11524325981356176
NumRotatableBonds,0.11342244717091088
NumHDonors,0.111885911641604
PEOE_VSA3,0.10618036196538805
NumAromaticCarbocycles,0.10291540249531961
fr_benzene,0.10248118227483616
fr_ether,0.10128248253470451
PEOE_VSA10,0.10079322351955122
SlogP_VSA10,0.10004089300690922
EState_VSA4,0.09988229858548703
NumSaturatedRings,0.09799448257084364
NumAromaticRings,0.09731299472457522
VSA_EState9,0.09565085987593491
fr_NH0,0.08999875546378044
AromaticRingDensity,0.08893760944158835
NumAliphaticHeterocycles,0.08800231334283515
fr_Ar_N,0.08765109105744684
NumSaturatedHeterocycles,0.08664986341859549
NumSaturatedCarbocycles,0.08551623454173907
SMR_VSA9,0.0747146319726042
fr_NH1,0.07440569791710039
fr_NH2,0.07324039900825796
fr_C_O,0.06506403808138206
PEOE_VSA11,0.06433443020902585
fr_allylic_oxid,0.06274579234042488
SlogP_VSA11,0.060250081031964164
Ipc,0.05779624094970548
SlogP_VSA8,0.054430197877731956
EState_VSA7,0.05225927050929435
fr_ketone,0.049115488033256716
fr_Al_OH,0.04837200467448577
NumAromaticHeterocycles,0.04587972951040631
fr_Ar_OH,0.04574018622981124
PEOE_VSA13,0.04435164743598086
PEOE_VSA5,0.04234793169045736
fr_halogen,0.040308125883073975
fr_Al_OH_noTert,0.03950912020835884
fr_phenol,0.038966575912597
fr_ketone_Topliss,0.03880029264847784
fr_phenol_noOrthoHbond,0.038644702749511595
fr_C_O_noCOO,0.03814192329192334
fr_ester,0.03593249560708611
fr_Ar_NH,0.03441277280670363
fr_Nhpyrrole,0.034366673384684354
fr_alkyl_halide,0.03431772073771455
fr_methoxy,0.034081337894326325
fr_Al_COO,0.032300406774046886
SlogP_VSA12,0.03158339910574437
PEOE_VSA4,0.031427871482798686
fr_COO2,0.030098300073540862
fr_COO,0.029783139044094797
fr_para_hydroxylation,0.0279552196454822
fr_Imine,0.027569498195164632
fr_aryl_methyl,0.026630652279180378
fr_lactone,0.02620675287184171
fr_sulfonamd,0.022477499363788733
fr_pyridine,0.02165061963678494
fr_alkyl_carbamate,0.021349229137193837
fr_Ndealkylation2,0.02117746026498102
fr_imidazole,0.02088459874559434
fr_Ndealkylation1,0.02024396668017059
fr_thiazole,0.0195067301549392
VSA_EState10,0.019380084619220916
fr_unbrch_alkane,0.018713114737244574
fr_quatN,0.018484826289098866
fr_amide,0.01832945659003049
fr_C_S,0.012648427022200481
fr_sulfide,0.011991892850440333
fr_aniline,0.011323186165636212
fr_piperdine,0.010981427144068912
EState_VSA11,0.00849093841938564
fr_priamide,0.008263407598010142
fr_nitro,0.007897445057576835
SlogP_VSA7,0.0062436537872072595
fr_furan,0.00588092734370349
fr_thiophene,0.0051966979498410115
fr_nitro_arom_nonortho,0.0043689280717698065
fr_nitro_arom,0.004281689536940303
SMR_VSA2,0.0029934991471247674
fr_imide,0.0011758647969561942
fr_hdrzone,0.0011320385189312887
fr_piperzine,0.0
fr_morpholine,0.0
fr_oxime,0.0
fr_ArN,0.0
