iter	Logloss
0	0.628385392
1	0.567448371
2	0.5257365653
3	0.4988386742
4	0.4763573943
5	0.4505887546
6	0.4306806452
7	0.4148140784
8	0.3987023438
9	0.3841757837
10	0.3742497733
11	0.3619340416
12	0.3542315686
13	0.3422379851
14	0.3348929947
15	0.3281951649116	0.3200591585117	0.3115492849118	0.3075581901919	0.3030200662020	0.2971571272121	0.2940019862222	0.28936003023	0.3127094353
24	0.3088966313
25	0.3032115951
26	0.299041491
27	0.2953962677
28	0.2894244811
29	0.2857446519
30	0.280706228
31	0.2770413341
32	0.2738282796
33	0.2705438155
34	0.2676783409
35	0.2652640291
36	0.2597903829
37	0.2559568776
38	0.2533594979
39	0.2506180882
40	0.24591375
41	0.2422805575
42	0.2400811905
43	0.2343907214
44	0.2317712007
45	0.2291352674
46	0.2272706221
47	0.2239847449
48	0.2210007708
49	0.2176372926
50	0.2151631718
51	0.2131789313
52	0.210710885
53	0.206829661
54	0.2045570387
55	0.2023269468
56	0.2010357697
57	0.1971601949
58	0.193750412
59	0.1910836194
60	0.1886884394
61	0.1843258739
62	0.1808805197
63	0.179165761
64	0.17798152
65	0.1770997015
66	0.1745045934
67	0.1735316506
68	0.1711377728
69	0.1689916416
70	0.1666707899
71	0.164812862
72	0.1626134373
73	0.1600371061
74	0.1594599936
75	0.1581799831
76	0.1561554981
77	0.153743048
78	0.1516151537
79	0.1507828729
80	0.1499349932
81	0.1481095006
82	0.1475068934
83	0.1445594848
84	0.1427936118
85	0.1419807398
86	0.1411650199
87	0.137946281
88	0.1369000402
89	0.1348615277
90	0.1329742737
91	0.1325297278
92	0.131333039
93	0.1297798836
94	0.1282562784
95	0.1263812955
96	0.1255912302
97	0.1236229287
98	0.1218124911
99	0.1201685035
100	0.118809823
101	0.1177353518
102	0.1164040758
103	0.1148308215
104	0.1132605048
105	0.1119943544
106	0.1098723812
107	0.1087380328
108	0.1067477476
109	0.1065272654
110	0.1050542447
111	0.1034085777
112	0.1030305932
113	0.1018869645
114	0.100047136
115	0.09835862714
116	0.09781156663
117	0.09668012926
118	0.09649686943
119	0.09560335599
120	0.09480461403
121	0.09385440211
122	0.09239263356
123	0.09187888757
124	0.09016376923
125	0.09001056178
126	0.08951341145
127	0.0885625781
128	0.08747230788
129	0.08589182007
130	0.08577016279
131	0.08458948861
132	0.08330204805
133	0.08254255125
134	0.08180059259
135	0.08117885403
136	0.0809827276
137	0.0800495302
138	0.07888017118
139	0.07801002306
140	0.07686334607
141	0.07674088428
142	0.07572952303
143	0.07539640252
144	0.07528857007
145	0.07463261265
146	0.07376851882
147	0.07319385992
148	0.07230807837
149	0.0718560394
150	0.07118149572
151	0.07048305929
152	0.07034756464
153	0.06988334287
154	0.06964052092
155	0.06913569159
156	0.06902653464
157	0.06846967746
158	0.06771333469
159	0.0668176064
160	0.06661044392
161	0.06584813502
162	0.06557157733
163	0.06510779725
164	0.06429745242
165	0.06342204924
166	0.06270009424
167	0.06198874631
168	0.06117833903
169	0.06068319084
170	0.0601345262
171	0.05964563573
172	0.05925417452
173	0.05902267958
174	0.0585713727
175	0.05774088119
176	0.05756070476
177	0.05700396846
178	0.05654893749
179	0.05608699762
180	0.05568572001
181	0.05545669817
182	0.05497306067
183	0.05444108046
184	0.05394192645
185	0.05367826819
186	0.05343880553
187	0.05278307326
188	0.05212847503
189	0.05141019627
190	0.05092022298
191	0.0505676042
192	0.05026763052
193	0.04987517929
194	0.04952752575
195	0.04931390816
196	0.04890064954
197	0.04869582604
198	0.04843461841
199	0.04803494575
505703

