iter	R2	RMSE
0	0.009449099628	1.04676316
1	0.0188998017	1.041757685
2	0.02851963292	1.03663781
3	0.03766217172	1.031748414
4	0.04463993881	1.028001082
5	0.05186837751	1.024104671
6	0.060257481	1.019563946
7	0.06812222486	1.015288596
8	0.07405884696	1.012049429
9	0.08110413784	1.008191842
10	0.0878268503	1.004497068
11	0.09360978292	1.001307884
12	0.09806911968	0.9988416866
13	0.1053696772	0.9947909785
14	0.1114548145	0.9914019986
15	0.1162054443	0.9887481684
16	0.1225445758	0.9851958245
17	0.1272449685	0.9825535105
18	0.1328917975	0.9793697332
19	0.1385451622	0.9761718691
20	0.1440252489	0.9730619897
21	0.1489254575	0.9702727424
22	0.154244302	0.9672360999
23	0.1585755372	0.9647562441
24	0.1646788747	0.9612509089
25	0.1701099438	0.958120895
26	0.1740713347	0.955831416
27	0.17761525	0.9537785589
28	0.1812110644	0.9516911127
29	0.185135405	0.9494077124
30	0.1898328344	0.9466672438
31	0.1937794059	0.9443586765
32	0.1969694038	0.9424885382
33	0.2005047806	0.9404115765
34	0.204960975	0.9377871001
35	0.2096854896	0.9349965511
36	0.2128627702	0.9331151874
37	0.215941921	0.9312883028
38	0.2181323902	0.9299864954
39	0.2238361851	0.9265881184
40	0.2290961652	0.9234430861
41	0.2329863745	0.9211101554
42	0.2371649436	0.9185976976
43	0.2400579556	0.9168541761
44	0.2438695932	0.9145519552
45	0.2460413434	0.9132376272
46	0.2488034516	0.911563281
47	0.2530869702	0.9089605797
48	0.2561988956	0.9070650645
49	0.2582482147	0.9058146308
50	0.2605229512	0.9044246296
51	0.263865754	0.9023780903
52	0.2653929928	0.901441534
53	0.2688112093	0.8993418296
54	0.2713024097	0.8978084689
55	0.2740975885	0.8960848826
56	0.2771700708	0.8941864701
57	0.2783924271	0.893430084
58	0.2799724212	0.8924514442
59	0.2826846558	0.8907689938
60	0.2842949153	0.8897686143
61	0.286574252	0.8883506423
62	0.2886207941	0.8870755602
63	0.2910725108	0.8855456202
64	0.2939923251	0.8837201186
65	0.2959568112	0.8824897741
66	0.2974211474	0.8815715532
67	0.29910173	0.8805165536
68	0.3009114973	0.8793790418
69	0.3041712698	0.8773264226
70	0.3061386359	0.8760852809
71	0.3086489693	0.8744990426
72	0.310062951	0.8736043028
73	0.3117294434	0.8725486013
74	0.3136542015	0.8713277001
75	0.3150475194	0.8704428303
76	0.3179380436	0.8686042385
77	0.3195934168	0.8675495413
78	0.3220120432	0.8660062389
79	0.3239738042	0.8647524349
80	0.3251629094	0.8639915663
81	0.3276115487	0.8624226497
82	0.3297175411	0.8610709906
83	0.3320409905	0.8595772982
84	0.3341087331	0.8582458076
85	0.3358576621	0.8571179974
86	0.3380018826	0.8557332523
87	0.3407488525	0.8539559685
88	0.3424073207	0.8528811499
89	0.3445903343	0.8514643162
90	0.34728028	0.8497152211
91	0.3485103428	0.8489141913
92	0.3502203598	0.8477993528
93	0.3517682208	0.8467889657
94	0.3530150144	0.8459742268
95	0.3551102262	0.8446033043
96	0.3561498494	0.8439222396
97	0.3575091894	0.843030896
98	0.3585315785	0.8423598757
99	0.3602323535	0.8412424275
100	0.3614313349	0.8404537762
101	0.3620439653	0.840050522
102	0.3635601195	0.8390517041
103	0.3646826199	0.8383114523
104	0.366086717	0.8373845756
105	0.3676868585	0.8363270332
106	0.3696177972	0.8350490817
107	0.3709986108	0.8341340184
108	0.3721925307	0.8333419993
109	0.3735836336	0.8324182229
110	0.3750673588	0.8314318087
111	0.3759172597	0.8308662477
112	0.3773561765	0.8299078513
113	0.3789412007	0.8288508567
114	0.3797934263	0.8282819811
115	0.3820358871	0.826783229
116	0.3832537602	0.825968122
117	0.3847609347	0.8249582743
118	0.387189453	0.8233284955
119	0.3882280832	0.822630485
120	0.3893770194	0.8218576527
121	0.3915681044	0.8203818007
122	0.3930571968	0.8193772736
123	0.3946768241	0.8182832889
124	0.3960905408	0.8173271905
125	0.3969745228	0.8167287837
126	0.3977031269	0.8162352293
127	0.3987722419	0.8155104729
128	0.4002536412	0.814505162
129	0.4011382798	0.813904234
130	0.4024393387	0.8130196283
131	0.404832939	0.811389671
132	0.4059611256	0.8106202793
133	0.4080211585	0.8092135071
134	0.4090341772	0.8085208308
135	0.4104726503	0.8075362189
136	0.4118197285	0.8066130755
137	0.4140006499	0.805116261
138	0.4159530973	0.8037738886
139	0.4166833634	0.80327123
140	0.4176090618	0.8026335985
141	0.4185105177	0.8020121783
142	0.4194578456	0.8013586168
143	0.4201100902	0.8009083234
144	0.4212180423	0.8001428398
145	0.4228778055	0.7989947381
146	0.4245207662	0.797856632
147	0.4251985073	0.7973866763
148	0.4254167819	0.7972352625
149	0.4266537003	0.7963766869
150	0.4279067899	0.7955059416
151	0.4292438265	0.7945758111
152	0.4309221565	0.793406711
153	0.4325668332	0.7922593795
154	0.4333249692	0.7917299418
155	0.4346253704	0.7908209923
156	0.4350606803	0.7905164876
157	0.436221767	0.7897037187
158	0.4371291631	0.7890679522
159	0.4379311478	0.7885056154
160	0.4394607987	0.787431939
161	0.440129846	0.786961868
162	0.441031956	0.7863276027
163	0.4416242958	0.7859108556
164	0.4427441092	0.7851223944
165	0.4449026302	0.7836003401
166	0.4458880388	0.7829045076
167	0.4462636162	0.7826391361
168	0.4480916849	0.7813461916
169	0.4494510249	0.7803833777
170	0.4511607124	0.7791707252
171	0.4522876617	0.7783703661
172	0.4535682321	0.7774599051
173	0.4544623973	0.7768235382
174	0.4552992576	0.7762274819
175	0.4563612157	0.7754704394
176	0.4580423942	0.7742704572
177	0.459035211	0.7735609358
178	0.4603154897	0.7726450164
179	0.4623102731	0.7712157682
180	0.4638618531	0.770102238
181	0.4647292228	0.7694790462
182	0.465944053	0.7686053601
183	0.4670446159	0.7678129948
184	0.4691330259	0.766307163
185	0.470345649	0.7654314512
186	0.4710873272	0.7648953443
187	0.4722151964	0.7640793661
188	0.4739043781	0.7628556636
189	0.4748279216	0.7621857855
190	0.4760156818	0.7613233954
191	0.4767884031	0.7607618253
192	0.4785389647	0.7594880804
193	0.4797084644	0.7586359365
194	0.4808929369	0.7577719061
195	0.481377707	0.7574179993
196	0.4827386501	0.7564235571
197	0.4847142648	0.7549776427
198	0.4865720833	0.7536154103
199	0.4872752929	0.7530991438
200	0.4878970877	0.7526423537
201	0.4887080191	0.7520462009
202	0.4902294567	0.7509264456
203	0.4909336693	0.75040759
204	0.4920804431	0.7495618918
205	0.4923913562	0.7493324418
206	0.4938665889	0.7482427794
207	0.4950473491	0.7473694809
208	0.4961344189	0.7465645732
209	0.4971903951	0.7457818566
210	0.4976441937	0.745445237
211	0.4992957831	0.7442188323
212	0.500776054	0.7431179219
213	0.5018072624	0.7423500245
214	0.5025881633	0.7417679915
215	0.5032547045	0.7412708335
216	0.5041759519	0.7405831463
217	0.5047374636	0.740163679
218	0.5058858818	0.7393050327
219	0.5069970585	0.7384732805
220	0.5079777158	0.7377384475
221	0.5087536739	0.737156482
222	0.5094730524	0.7366165402
223	0.5101081928	0.7361394956
224	0.5104903343	0.7358523258
225	0.5120329959	0.7346919126
226	0.512837076	0.7340863443
227	0.5133613563	0.7336912295
228	0.5137727532	0.7333810382
229	0.5146469781	0.7327214408
230	0.516096495	0.7316264788
231	0.5175098608	0.730557245
232	0.5181422227	0.730078346
233	0.5198838694	0.7287577389
234	0.5214080643	0.7276000484
235	0.5225130652	0.7267596003
236	0.5237412186	0.7258243423
237	0.5250909971	0.7247950728
238	0.5264642511	0.7237464001
239	0.5280472134	0.7225356971
240	0.529301032	0.7215752925
241	0.5301323369	0.7209378213
242	0.5317702153	0.7196801913
243	0.532569169	0.7190659238
244	0.532859691	0.7188424287
245	0.5334990498	0.718350333
246	0.5345031417	0.7175768315
247	0.5349772954	0.7172112776
248	0.5364866446	0.716046386
249	0.537652234	0.7151455042
250	0.5393659121	0.7138189412
251	0.5406265497	0.7128415022
252	0.5411467462	0.7124377754
253	0.5426109351	0.7113001819
254	0.5439128084	0.7102871684
255	0.5444074662	0.7099018863
256	0.5453725216	0.7091496156
257	0.546272692	0.7084472034
258	0.5473830657	0.7075798069
259	0.5481659337	0.70696761
260	0.5484358841	0.7067563879
261	0.5485507934	0.7066664582
262	0.549107163	0.7062308732
263	0.5492821241	0.7060938397
264	0.5497489182	0.7057281055
265	0.5509821038	0.7047609891
266	0.552039094	0.703930995
267	0.5526045192	0.7034865969
268	0.5538342406	0.702519122
269	0.5542712708	0.7021749704
270	0.5549992736	0.7016013096
