iter	Passed	Remaining
0	2	2192
1	4	1772
2	6	1752
3	8	1638
4	10	1632
5	12	1627
6	16	1827
7	19	1888
8	21	1872
9	23	1848
10	26	1882
11	28	1854
12	30	1818
13	32	1798
14	33	1761
15	36	1769
16	38	1757
17	39	1735
18	42	1762
19	44	1742
20	46	1726
21	48	1719
22	50	1705
23	52	1694
24	54	1679
25	56	1684
26	58	1670
27	60	1660
28	62	1665
29	64	1656
30	66	1641
31	68	1634
32	69	1624
33	71	1618
34	73	1608
35	75	1603
36	77	1600
37	79	1601
38	81	1590
39	84	1601
40	86	1593
41	87	1584
42	89	1579
43	91	1580
44	94	1580
45	96	1576
46	97	1567
47	99	1559
48	101	1557
49	103	1552
50	105	1546
51	107	1541
52	109	1538
53	111	1534
54	112	1529
55	114	1525
56	117	1530
57	119	1529
58	121	1523
59	123	1527
60	126	1533
61	129	1537
62	131	1533
63	133	1536
64	136	1544
65	138	1536
66	140	1533
67	142	1537
68	145	1540
69	147	1538
70	149	1534
71	151	1528
72	152	1521
73	154	1516
74	156	1510
75	158	1510
76	161	1517
77	164	1518
78	165	1514
79	167	1508
80	169	1503
81	171	1497
82	172	1492
83	175	1492
84	176	1488
85	178	1483
86	180	1480
87	183	1482
88	185	1482
89	187	1479
90	190	1481
91	192	1481
92	199	1516
93	202	1520
94	206	1529
95	207	1523
96	209	1519
97	211	1512
98	213	1508
99	214	1504
100	217	1505
101	219	1501
102	221	1496
103	223	1494
104	225	1492
105	227	1488
106	230	1489
107	231	1485
108	233	1481
109	235	1475
110	236	1470
111	238	1465
112	240	1460
113	242	1458
114	244	1457
115	246	1451
116	247	1445
117	249	1440
118	250	1434
119	252	1430
120	253	1425
121	255	1419
122	256	1414
123	258	1408
124	259	1403
125	261	1399
126	263	1394
127	264	1389
128	266	1386
129	268	1382
130	269	1377
131	271	1373
132	272	1368
133	275	1367
134	276	1363
135	278	1358
136	279	1354
137	281	1349
138	283	1347
139	284	1342
140	286	1338
141	287	1334
142	289	1331
143	291	1327
144	292	1323
145	294	1319
146	296	1314
147	297	1310
148	299	1309
149	301	1305
150	303	1304
151	305	1300
152	307	1300
153	309	1298
154	311	1295
155	313	1295
156	317	1299
157	320	1302
158	322	1300
159	324	1298
160	325	1293
161	328	1292
162	330	1289
163	331	1286
164	333	1285
165	335	1281
166	337	1279
167	339	1276
168	340	1272
169	343	1272
170	345	1269
171	346	1265
172	348	1262
173	349	1258
174	351	1254
175	352	1251
176	354	1247
177	356	1244
178	357	1240
179	359	1237
180	360	1233
181	362	1230
182	363	1226
183	365	1223
184	367	1220
185	369	1219
186	370	1216
187	372	1212
188	374	1209
189	375	1206
190	377	1202
191	378	1199
192	380	1195
193	381	1191
194	383	1188
195	384	1184
196	386	1181
197	388	1180
198	390	1178
199	391	1174
200	393	1171
201	394	1167
202	396	1165
203	397	1162
204	399	1159
205	400	1156
206	402	1153
207	404	1150
208	405	1147
209	407	1144
210	408	1141
211	410	1139
212	412	1138
213	414	1135
214	416	1132
215	418	1130
216	419	1127
217	421	1124
218	422	1121
219	424	1118
220	425	1115
221	427	1112
222	428	1108
223	429	1105
224	431	1102
225	432	1099
226	434	1096
227	435	1093
228	437	1090
229	438	1087
