,mutual_info
BCUT2D_CHGLO,0.09034850593665156
MinPartialCharge,0.08917805729800254
BCUT2D_MWHI,0.08120199694911712
MaxPartialCharge,0.0808328858069638
EState_VSA9,0.08073267452311006
MaxAbsPartialCharge,0.07932711883170018
BCUT2D_LOGPHI,0.07487013888245042
TPSA,0.07372361121234872
PEOE_VSA2,0.07303956288936608
BCUT2D_MRHI,0.07261557065774005
HallKierAlpha,0.06884597419357075
SMR_VSA7,0.06883572347642564
BCUT2D_MRLOW,0.06611693461703516
BCUT2D_MWLOW,0.06592558675555726
BCUT2D_CHGHI,0.0657413939688507
BertzCT,0.06349783070894333
NumAliphaticCarbocycles,0.06333106597888238
Kappa1,0.06270110757386793
AvgIpc,0.05998530362980725
Chi1v,0.05899228863715744
EState_Delta,0.058791079269966406
FpDensityMorgan3,0.0585888714814915
SMR_VSA4,0.05837041976057522
SlogP_VSA5,0.058286539787701486
fr_ether,0.05821793972362621
SMR_VSA1,0.05736883296084838
MinAbsPartialCharge,0.057027293829945425
Chi0,0.054482737325222796
MaxAbsEStateIndex,0.05429601803645889
NumValenceElectrons,0.05390410337120688
qed,0.05353854286375048
VSA_EState5,0.05315291316741377
MaxEStateIndex,0.05314630557184796
SlogP_VSA6,0.05276887262324381
HAcceptors_to_HDonors_Ratio,0.05226813275024278
VSA_EState4,0.05200126987143161
SMR_VSA5,0.051868230519224845
EState_VSA4,0.051575197280332885
EState_VSA3,0.04948045159149528
PEOE_VSA9,0.04836645181398902
SlogP_VSA2,0.04822224824953647
BalabanJ,0.04802215708523816
EState_VSA2,0.047430910729161724
VSA_EState2,0.046952302791001266
PEOE_VSA6,0.04504647647332205
Kappa3,0.044612953354206786
VSA_EState3,0.04323629169457166
Chi2n,0.04319497234267766
NumHAcceptors,0.04281732577548247
PEOE_VSA1,0.042738520434262295
MolWt_x_TPSA,0.04218544912137445
PEOE_VSA8,0.04192910058369459
Chi1n,0.04112174593388862
MolMR,0.03968831945020446
EState_VSA8,0.039471257634111634
fr_C_O,0.03892782606973366
EState_VSA10,0.038539790214785485
MinEStateIndex,0.03658157024800124
HeavyAtomMolWt,0.03301105754953304
VSA_EState6,0.03232989271630271
SlogP_VSA4,0.03204071312948242
FractionCSP3,0.03181543062293635
BCUT2D_LOGPLOW,0.031345862274933856
PEOE_VSA13,0.031109692784670573
NOCount,0.03107107776647977
SlogP_VSA1,0.03090027728529554
fr_nitro_arom,0.0308401465994268
Chi3n,0.03061563440418369
fr_amide,0.030239220227520347
fr_ester,0.02977219591388658
fr_C_S,0.029483309386278078
PEOE_VSA12,0.028529781161305
PEOE_VSA7,0.02810229566783029
SlogP_VSA10,0.028081738108877596
VSA_EState7,0.027454695537704188
fr_Imine,0.027141823370994578
PEOE_VSA11,0.02666247005800293
fr_Al_OH,0.026448284503225006
fr_bicyclic,0.026395966506647994
EState_VSA1,0.025143222272488996
SMR_VSA3,0.024696015479362732
VSA_EState8,0.024292872514466435
FpDensityMorgan2,0.024288415112078132
SMR_VSA10,0.023359072565761307
SMR_VSA6,0.023283086963836963
Chi2v,0.02289690462334515
HeavyAtomCount,0.02247400583850001
EState_VSA5,0.02217234560846104
SPS,0.02204416897460848
ExactMolWt,0.021936673218774683
Chi4n,0.021649981957384767
Chi0n,0.020900892547367045
LabuteASA,0.020898509435789636
fr_nitro_arom_nonortho,0.02034935016766881
VSA_EState1,0.01998964372743739
SlogP_VSA12,0.01945994125991124
Kappa2,0.01941886480514321
NumAliphaticHeterocycles,0.018943514778481996
fr_ArN,0.01860720761355794
PEOE_VSA10,0.01856943866295313
NumAromaticHeterocycles,0.018513637929951532
SlogP_VSA3,0.017768878550880718
Ipc,0.016896715555493547
fr_Al_OH_noTert,0.015048133165823208
FpDensityMorgan1,0.014499895876466606
MolWt,0.014496922560162107
MolLogP,0.014386705647727815
NumAliphaticRings,0.013877827768646656
PEOE_VSA14,0.013839938282319553
NumHDonors,0.013260597903423488
MinAbsEStateIndex,0.012498611902793222
