iter	Logloss
0	0.6915683388
1	0.6897147255
2	0.6877316591
3	0.6858088089
4	0.6836473383
5	0.6815835341
6	0.6795833892
7	0.677214368
8	0.6756319938
9	0.6737418029
10	0.6713687015
11	0.6695575386
12	0.6674756224
13	0.6656509767
14	0.6639860285
15	0.6619657973
16	0.6607057352
17	0.6589080388
18	0.6568343176
19	0.654925137
20	0.6536878681
21	0.6520567234
22	0.6505242666
23	0.6485447736
24	0.6470158314
25	0.6457346169
26	0.6440539987
27	0.642146674
28	0.6404887634
29	0.6388756766
30	0.6377462601
31	0.6364850739
32	0.6346266791
33	0.6324944505
34	0.6308407142
35	0.6294095992
36	0.6278809083
37	0.6263782362
38	0.6246176279
39	0.6233563414
40	0.6224957289
41	0.6215341291
42	0.6198562947
43	0.6181184223
44	0.6165775932
45	0.6150648618
46	0.6140070925
47	0.6122890529
48	0.6110609471
49	0.6095477972
50	0.6080904912
51	0.6070446722
52	0.6056732598
53	0.6040184467
54	0.6024760098
55	0.6012983787
56	0.600039685
57	0.5987792438
58	0.5980071539
59	0.5974340833
60	0.5961828971
61	0.5953850831
62	0.5939140729
63	0.5928866186
64	0.5919477986
65	0.5904290972
66	0.5893504362
67	0.5882718949
68	0.5874689721
69	0.5863451043
70	0.585196445
71	0.5842969513
72	0.5833979939
73	0.5822954937
74	0.5811152536
75	0.5801644261
76	0.5790834349
77	0.5780129846
78	0.576808458
79	0.5755209994
80	0.5744446682
81	0.573504666
82	0.5726579525
83	0.571854857
84	0.5713597519
85	0.5704563146
86	0.5697335284
87	0.5684654258
88	0.5673393918
89	0.5661176835
90	0.5650960752
91	0.563873061
92	0.5628222186
93	0.5617625607
94	0.5605368994
95	0.5595829336
96	0.5584125997
97	0.5575448294
98	0.5565860835
99	0.5556117392
100	0.5544478863
101	0.55343817
102	0.5525952152
103	0.5515111449
104	0.5507691746
105	0.5497877263
106	0.5489294519
107	0.5478496705
108	0.5472073597
109	0.5464807447
110	0.5452930342
111	0.544346573
112	0.5434121409
113	0.542303452
114	0.5415922354
115	0.5409852582
116	0.5402448129
117	0.5395370513
118	0.5390136626
119	0.5378892183
120	0.5371408443
121	0.5365209606
122	0.5355041246
123	0.534673189
124	0.5340130553
125	0.5332304558
126	0.5323036253
127	0.5313599421
128	0.5308533877
129	0.5303039345
130	0.5295627009
131	0.5286961363
132	0.528048565
133	0.5271810047
134	0.5265240621
135	0.5260393243
136	0.5255208461
137	0.5246746786
138	0.5241446027
139	0.523244323
140	0.5226317706
141	0.5221139753
142	0.5211759185
143	0.5202350893
144	0.5194531045
145	0.5187517949
146	0.5181775229
147	0.5176858816
148	0.5167613374
149	0.5160630787
150	0.5153512
151	0.5148031861
152	0.5144249507
153	0.5140018377
154	0.5130474191
155	0.5126994784
156	0.5118517864
157	0.5111211716
158	0.5106479794
159	0.5099206941
160	0.5089542132
161	0.5081574051
162	0.507526217
163	0.506835434
164	0.5064047051
165	0.505775015
166	0.5050373417
167	0.5046991993
168	0.5040112466
169	0.5035957593
170	0.5030894604
171	0.5024932316
172	0.5019223438
173	0.5012236237
174	0.5006821843
175	0.4998764039
176	0.4993612764
177	0.4987494396
178	0.4979962724
179	0.4972704529
180	0.4968441321
181	0.4962058851
182	0.4957782372
183	0.4950791724
184	0.4942247396
185	0.4932960951
186	0.4929549096
187	0.4923377024
188	0.4917028198
189	0.4910806521
190	0.4902766134
191	0.4897979373
192	0.4890805534
193	0.4885423825
194	0.4880527692
195	0.4876872188
196	0.4869253469
197	0.4862501205
198	0.4852609332
199	0.4847484963
200	0.4840046197
201	0.4833766072
202	0.4829224032
203	0.4824479956
204	0.4818870997
205	0.481405655
206	0.4810622672
207	0.4805642058
208	0.4799546756
209	0.4796468578
210	0.4792050079
211	0.4785616773
212	0.4779578199
213	0.4771813473
214	0.4765694806
215	0.4760377046
216	0.4751883902
217	0.4748030587
218	0.4741480332
219	0.4736620848
220	0.4730582697
221	0.4726521139
222	0.4723283584
223	0.4720640617
224	0.4716064427
225	0.4712117164
226	0.4708159957
227	0.4700395654
228	0.4694874366
229	0.4691934072
230	0.4688118242
231	0.4683161176
232	0.4677312975
233	0.4669402973
234	0.4664506028
235	0.4660040974
236	0.4652783819
237	0.464733512
238	0.4642813127
239	0.4639635922
240	0.4633709382
241	0.4630054176
242	0.462775234
243	0.4623423563
244	0.4617953266
245	0.4614499108
246	0.4607621866
247	0.4602788179
248	0.4599384743
249	0.4595351505
250	0.4592576219
251	0.4588201359
252	0.4583770818
253	0.4578327494
254	0.4575244066
255	0.457082783
256	0.4566952754
257	0.4561007397
258	0.4556280691
259	0.4550669105
260	0.4545936718
261	0.4540060477
262	0.4535468485
263	0.4530815264
264	0.4525818625
265	0.4521664741
266	0.4517972834
267	0.4512978823
268	0.4511344195
269	0.4506829015
270	0.4504875306
271	0.4502042551
272	0.449514974
273	0.4491868175
274	0.4489427405
275	0.4487013213
276	0.4484358437
277	0.4480075015
278	0.447612708
279	0.4472248963
280	0.446933387
281	0.4465084539
282	0.4458934205
283	0.4454130555
284	0.4448657526
285	0.4442834135
286	0.4439165345
287	0.443571188
288	0.4433429614
289	0.4428901486
290	0.4424678201
291	0.4422095754
292	0.4417860895
293	0.4413608767
294	0.4408310607
295	0.4404721346
296	0.4399968732
297	0.4395757961
298	0.4392212405
299	0.4389838399
300	0.4383092572
301	0.4379843029
302	0.4375099314
303	0.4371976751
304	0.4368684776
305	0.4365249497
306	0.4362667083
307	0.4357084265
308	0.4352911008
309	0.4348727716
310	0.43449249
311	0.4341311375
312	0.4337197282
313	0.4332988411
314	0.432885879
315	0.4324893459
316	0.4318221708
317	0.431395056
318	0.4312517508
319	0.4307168769
320	0.4303581411
321	0.4301386352
322	0.4297233725
323	0.4293483577
324	0.4289169652
325	0.4285123045
326	0.428149251
327	0.4279581375
328	0.4275642825
329	0.427088093
330	0.426390757
331	0.4261174129
332	0.4258278863
333	0.4254358122
334	0.4252275244
335	0.4246624853
336	0.4244389378
337	0.4240937788
338	0.4238085958
339	0.4234748983
340	0.4230959649
341	0.4227580026
342	0.4225187821
343	0.4221363381
344	0.4216556538
