iter	Passed	Remaining
0	60	60549
1	64	32126
2	68	22658
3	72	18069
4	79	15841
5	86	14292
6	91	12978
7	95	11831
8	99	11001
9	106	10508
10	113	10165
11	117	9695
12	124	9455
13	131	9280
14	136	8934
15	140	8666
16	147	8543
17	152	8312
18	158	8163
19	162	7964
20	167	7813
21	171	7638
22	176	7492
23	181	7392
24	186	7286
25	192	7195
26	196	7079
27	202	7013
28	208	6988
29	216	6993
30	221	6914
31	225	6830
32	230	6741
33	234	6668
34	239	6593
35	244	6551
36	248	6480
37	253	6421
38	256	6325
39	261	6281
40	266	6226
41	271	6195
42	278	6197
43	285	6198
44	290	6161
45	296	6146
46	301	6120
47	305	6062
48	309	6003
49	316	6020
50	322	5992
51	327	5968
52	333	5961
53	340	5957
54	344	5911
55	349	5894
56	357	5920
57	362	5894
58	368	5872
59	373	5848
60	376	5802
61	383	5796
62	387	5759
63	393	5753
64	399	5747
65	406	5748
66	409	5706
67	416	5701
68	420	5676
69	423	5631
70	429	5618
71	433	5592
72	438	5570
73	449	5626
74	455	5622
75	459	5585
76	464	5565
77	469	5549
78	476	5551
79	480	5523
80	486	5520
81	493	5525
82	497	5494
83	502	5485
84	508	5470
85	515	5475
86	520	5465
87	524	5433
88	527	5397
89	531	5378
90	537	5367
91	542	5355
92	547	5339
93	551	5316
94	555	5296
95	560	5275
96	566	5277
97	570	5253
98	574	5224
99	577	5201
100	585	5208
101	591	5204
102	597	5207
103	604	5206
104	609	5195
105	613	5176
106	619	5169
107	624	5160
108	630	5150
109	633	5127
110	637	5109
111	643	5105
112	647	5085
113	652	5074
114	656	5054
115	664	5065
116	669	5051
117	675	5046
118	680	5040
119	687	5041
120	692	5028
121	698	5026
122	705	5032
123	711	5024
124	718	5029
125	723	5021
126	728	5010
127	732	4992
128	743	5018
129	749	5012
130	758	5032
131	773	5084
132	782	5102
133	786	5081
134	792	5076
135	797	5064
136	805	5074
137	812	5076
138	820	5083
139	827	5081
140	832	5069
141	839	5074
142	849	5088
143	856	5092
144	861	5082
145	867	5074
146	873	5068
147	877	5054
148	883	5047
149	890	5043
150	896	5042
151	901	5029
152	905	5014
153	911	5005
154	916	4996
155	922	4990
156	926	4974
157	930	4958
158	935	4949
159	939	4934
160	943	4918
161	948	4906
162	952	4893
163	956	4876
164	963	4874
165	968	4867
166	974	4859
167	979	4853
168	984	4842
169	990	4836
170	994	4821
171	999	4810
172	1004	4800
173	1010	4799
174	1016	4794
175	1023	4793
176	1029	4787
177	1034	4778
178	1039	4768
179	1046	4765
180	1051	4758
