,mutual_info
MinPartialCharge,0.1865646652773174
MaxAbsPartialCharge,0.1843711715181875
MaxPartialCharge,0.16443592775996563
BCUT2D_MWHI,0.15132532189933046
MinAbsPartialCharge,0.14940470255869687
BCUT2D_CHGLO,0.1483652144140737
BCUT2D_MRLOW,0.14366507394612293
BCUT2D_MRHI,0.14146206827056385
SlogP_VSA2,0.13750443489346664
PEOE_VSA1,0.13476798384173505
TPSA,0.12950875255660566
BCUT2D_MWLOW,0.12914174311142435
BCUT2D_LOGPLOW,0.12567751722375853
SMR_VSA5,0.11701212137425032
BCUT2D_CHGHI,0.1125179971050807
SlogP_VSA5,0.10985755987136203
PEOE_VSA8,0.10587932444316661
HallKierAlpha,0.1044135785932423
BCUT2D_LOGPHI,0.09845251420582413
PEOE_VSA9,0.0973451631134945
EState_Delta,0.09699956140766619
SlogP_VSA6,0.09512145450039045
PEOE_VSA6,0.09502377772798587
SlogP_VSA4,0.09301476934039443
AvgIpc,0.09055409824713401
VSA_EState1,0.08777130795949573
VSA_EState7,0.08627371702012332
MolWt_x_TPSA,0.08590991726051
EState_VSA8,0.08579386219810159
PEOE_VSA7,0.08524559127321374
VSA_EState8,0.08417086603497159
EState_VSA9,0.08400771683961561
SMR_VSA6,0.08355425599429411
MolWt,0.0819460642933707
EState_VSA10,0.08111575920131409
ExactMolWt,0.07881876575360147
SMR_VSA1,0.07835470337584605
SMR_VSA4,0.07819785324500406
VSA_EState3,0.07790737818291493
SMR_VSA10,0.07516723822978122
NumSaturatedHeterocycles,0.07422748915268085
SlogP_VSA3,0.07368164719730896
Chi2n,0.07289409178984885
BalabanJ,0.0682367219051423
MinEStateIndex,0.06814918431503636
HeavyAtomMolWt,0.06791964729655575
EState_VSA2,0.06777640666124851
HAcceptors_to_HDonors_Ratio,0.06722891290658595
SPS,0.0652026497879783
Chi3v,0.06333899179173796
MaxEStateIndex,0.06310682826135827
MaxAbsEStateIndex,0.06305007869923118
EState_VSA3,0.0628962569585807
EState_VSA1,0.06276239835703779
VSA_EState2,0.06256579211008018
Chi3n,0.06250747583269711
Kappa2,0.061984449043289924
EState_VSA5,0.06188384896707344
Chi0n,0.06044310888546911
Kappa1,0.06033920363459111
Chi1,0.05996178858597512
Chi0,0.05911535728376105
EState_VSA4,0.05896420753030318
LabuteASA,0.05764278093387931
SlogP_VSA1,0.05610233152055111
MinAbsEStateIndex,0.055115846129970114
MolLogP,0.0544699411754177
MolLogP_sq,0.05423832535324302
SMR_VSA3,0.05257152455404035
Chi1v,0.05156478753808069
SlogP_VSA10,0.05142516084739612
Chi0v,0.051195890066234595
Chi2v,0.05097332164069557
MolMR,0.05074856911301362
Ipc,0.050492168812279026
VSA_EState5,0.050405933891483734
Chi4v,0.049521503448473725
fr_alkyl_halide,0.04895011559631124
PEOE_VSA11,0.04707217186045187
VSA_EState4,0.04672539506456719
qed,0.046129932089806536
fr_allylic_oxid,0.04575096860416683
FpDensityMorgan3,0.04452504222304854
FractionCSP3,0.04420583794285693
PEOE_VSA2,0.04326666829625947
FpDensityMorgan2,0.04061358638320378
Kappa3,0.038722626941323
NumAliphaticCarbocycles,0.038280670858035215
Chi1n,0.037137447555570136
NOCount,0.03550576921888715
SMR_VSA7,0.03540379597922505
NHOHCount,0.03437135144658998
SlogP_VSA8,0.03287903324980812
Chi4n,0.031774448429782165
fr_thiazole,0.030885890161891583
fr_phenol_noOrthoHbond,0.03027464365576016
NumHDonors,0.030156671062112617
fr_amide,0.029799818313959614
fr_phenol,0.02939041242082574
BertzCT,0.029097956057225982
VSA_EState10,0.028799510602225853
fr_NH0,0.028225648109644785
PEOE_VSA12,0.0263527550736653
fr_ketone_Topliss,0.0259159267424931
fr_Imine,0.02589235972104298
VSA_EState6,0.02588258533138088
fr_furan,0.02486014157189942
fr_guanido,0.02473528726599361
PEOE_VSA10,0.024467316541082473
NumHeteroatoms,0.023991649003442195
fr_urea,0.023861541936830433
fr_Ar_OH,0.023608947883895448
SlogP_VSA12,0.023252939193061817
NumSaturatedCarbocycles,0.023099887224165006
NumAromaticHeterocycles,0.022725000286876407
EState_VSA6,0.02219804656351987
VSA_EState9,0.02189792117673517
fr_nitro_arom,0.02143786000345549
SMR_VSA2,0.021099297781511206
fr_term_acetylene,0.020889797415988953
fr_hdrzine,0.020396032818851717
fr_halogen,0.020336905496753266
EState_VSA7,0.02023274478243975
