,mutual_info
ExactMolWt,0.2575128397652051
MolWt,0.2566348117480661
HeavyAtomMolWt,0.21623932849433425
MinAbsPartialCharge,0.2042531152064342
Chi0,0.19889561160692493
MaxPartialCharge,0.19765208263052347
Kappa1,0.18856899888078127
BCUT2D_CHGLO,0.18634767074298608
HeavyAtomCount,0.1848912953126809
Kappa2,0.1722030327981776
LabuteASA,0.17102680472078235
VSA_EState8,0.1706431647951212
Chi0n,0.1701023132310011
NumValenceElectrons,0.16715347900563682
AvgIpc,0.16410491007905037
MaxAbsPartialCharge,0.16353277991421322
SlogP_VSA4,0.16295986584055688
Chi0v,0.16064887519175208
BCUT2D_LOGPLOW,0.15620802693235936
Chi1,0.1551157352673811
MaxAbsEStateIndex,0.1550862361342844
SlogP_VSA3,0.15469296664633658
MaxEStateIndex,0.1544122399444925
EState_VSA10,0.15336408182092276
BalabanJ,0.15270161465898324
BCUT2D_MRHI,0.15176902630185785
Chi4n,0.1488102342841131
BCUT2D_LOGPHI,0.14856024161767722
BCUT2D_MRLOW,0.14305269115270702
MolLogP_sq,0.13652191740714192
VSA_EState2,0.1345304674953507
FpDensityMorgan3,0.1343450366056902
VSA_EState4,0.13231161253356882
MolLogP,0.13137148214351768
MinPartialCharge,0.12769307370715977
HallKierAlpha,0.1273213247210463
MinEStateIndex,0.1271363308471658
Chi2v,0.12672631531654144
SMR_VSA1,0.12599722734266594
Chi4v,0.1244883914331929
BCUT2D_MWLOW,0.12304708036786938
VSA_EState3,0.12283310840537176
SMR_VSA4,0.12281609601300492
BCUT2D_CHGHI,0.12263607288328249
PEOE_VSA2,0.11644692498508302
PEOE_VSA14,0.11550414438807755
qed,0.11406689137258796
EState_Delta,0.11290425852892039
Chi3v,0.11277333821753865
EState_VSA9,0.11129698686201062
PEOE_VSA1,0.1111392197781309
SlogP_VSA5,0.11033522766710346
VSA_EState1,0.10625541133342997
PEOE_VSA9,0.10435435055107689
VSA_EState6,0.10287626702300301
Chi2n,0.10188215468539763
SPS,0.10060777701843016
Chi1v,0.09975319719382858
MolWt_x_TPSA,0.09869543036869022
NumAliphaticRings,0.09837275739815343
Chi1n,0.09699469056670385
EState_VSA8,0.09655746864334036
NumHAcceptors,0.09634356822909096
MolMR,0.09587022278357082
Kappa3,0.09560883809986898
FpDensityMorgan2,0.09412872532430017
SlogP_VSA2,0.09333776952790496
BertzCT,0.09293841318747065
fr_bicyclic,0.09183634752417369
NOCount,0.09006526191435649
RingCount,0.08910867019519042
PEOE_VSA8,0.08785470271608942
PEOE_VSA7,0.08761497808760677
BCUT2D_MWHI,0.08744748582807915
VSA_EState7,0.0872383133289869
NumAliphaticCarbocycles,0.08689825401908369
SMR_VSA3,0.0864151939297777
Chi3n,0.08626216439754497
PEOE_VSA10,0.08493140313355374
SlogP_VSA10,0.08360844908035592
EState_VSA2,0.08291136471503568
EState_VSA5,0.08201144638357905
VSA_EState5,0.08171826800651161
SMR_VSA5,0.08127284211726593
FractionCSP3,0.0795829790728626
SMR_VSA6,0.07678857149816976
NumSaturatedHeterocycles,0.07546594135383211
TPSA,0.07233935184421592
NHOHCount,0.07231694408127076
FpDensityMorgan1,0.07169269184919624
SMR_VSA7,0.07083582397481258
EState_VSA6,0.07014161249606188
fr_Ar_N,0.0684371252250644
SlogP_VSA1,0.06764258921663213
fr_ether,0.0670575406178675
NumAliphaticHeterocycles,0.06701790876251312
PEOE_VSA3,0.06687472493293756
fr_benzene,0.06453533812414092
NumAromaticCarbocycles,0.06453533812414092
VSA_EState9,0.0629527613788261
NumRotatableBonds,0.06268163615892686
NumHeteroatoms,0.06049229105717391
NumAromaticRings,0.05982544651362165
NumSaturatedRings,0.059397780996909955
PEOE_VSA6,0.05921652575526082
PEOE_VSA12,0.05904228039084014
fr_NH0,0.05834521216782207
HAcceptors_to_HDonors_Ratio,0.05727914064549866
fr_allylic_oxid,0.05713037911954455
SlogP_VSA6,0.05653441633541867
SMR_VSA10,0.05590859347726873
SMR_VSA9,0.05584005695715755
SlogP_VSA11,0.05398371187324469
EState_VSA3,0.05260322452127042
fr_Ar_OH,0.05010638918244403
fr_Al_OH,0.04975278094264102
fr_ketone,0.04870609689112837
NumSaturatedCarbocycles,0.04858076524513999
PEOE_VSA11,0.04643357881507004
EState_VSA4,0.046345157300715645
fr_C_O,0.04626443666234081
fr_NH1,0.04528586920707456
PEOE_VSA13,0.04403285365774523
fr_phenol_noOrthoHbond,0.04286834564798303
fr_phenol,0.042180503950214554
fr_ketone_Topliss,0.04192785669919341
fr_C_O_noCOO,0.040639458999153
EState_VSA1,0.04023461843230258
fr_ester,0.03988377932520848
NumHDonors,0.03330078084323107
fr_Al_OH_noTert,0.0330135878366431
PEOE_VSA5,0.03241101820687753
